,root:Elder,root:Young
SRR5601981,0.26904428,0.73095566
K119,0.12485211,0.8751478
SRR5602262,0.40215465,0.5978454
SRR5602321,0.5592127,0.44078732
SRR5602280,0.03581271,0.9641873
SRR5602281,0.4121631,0.58783686
SRR3679977,0.26416627,0.73583376
SRR3680084,0.3618658,0.63813424
SRR5602261,0.29727477,0.70272523
SRR5602178,0.038195595,0.9618044
SRR3679987,0.10130255,0.89869744
SRR5602198,0.56804186,0.43195817
SRR5602184,0.3274746,0.67252535
SRR5602011,0.27940866,0.7205913
K301,0.36701545,0.6329846
SRR5601993,0.30680165,0.6931983
SRR5602116,0.028621433,0.9713786
SRR5602199,0.058224913,0.9417751
SRR3679970,0.5523628,0.44763714
SRR5602328,0.41778353,0.58221644
SRR5602250,0.5083209,0.49167904
SRR5602354,0.5477657,0.45223442
SRR5602336,0.32736665,0.6726334
SRR5602205,0.2803077,0.7196923
SRR3679974,0.5484322,0.4515679
SRR5602275,0.31113878,0.6888612
SRR5610014,0.56651926,0.43348077
C011,0.16703078,0.8329692
SRR5602101,0.028621433,0.9713786
SRR5602034,0.31553063,0.68446934
SRR3680093,0.16467093,0.8353291
SRR3680053,0.5146001,0.4854
SRR5602153,0.37681457,0.6231854
SRR5602232,0.4768971,0.523103
SRR5609970,0.19324534,0.80675465
SRR5602014,0.2730085,0.7269915
SRR5602225,0.43433043,0.56566966
SRR3679996,0.5598869,0.4401131
SRR5602320,0.23739016,0.7626098
SRR5601933,0.062995896,0.9370041
SRR5602175,0.08827873,0.9117213
SRR3679988,0.5340729,0.46592712
SRR3679991,0.27617183,0.72382814
SRR5602194,0.5014091,0.49859086
SRR3680035,0.31447977,0.68552023
SRR5602231,0.5179699,0.48203006
SRR5602270,0.36057785,0.6394221
C018,0.5122725,0.48772755
SRR5601934,0.43217072,0.5678293
SRR5602218,0.51869416,0.48130584
SRR5602148,0.4440365,0.55596346
SRR5602299,0.40660456,0.5933954
SRR5602187,0.037191898,0.9628081
SRR3680028,0.38044012,0.6195599
SRR5602337,0.5111144,0.4888856
