,root:Elder,root:Young
SRR5602278,0.47165477,0.52834517
SRR5602076,0.111980446,0.8880196
SRR5602171,0.6466786,0.35332134
K119,0.37833142,0.6216686
SRR5602233,0.6360437,0.36395627
SRR5602321,0.64678615,0.3532139
SRR5601967,0.14319706,0.85680294
SRR3679990,0.6474607,0.3525393
SRR5602280,0.11164426,0.88835573
SRR5602226,0.6489125,0.3510875
SRR5602060,0.64619136,0.3538086
SRR5602117,0.64692414,0.35307583
SRR5602338,0.30779707,0.6922029
SRR5602273,0.11365268,0.8863473
SRR5602178,0.64563066,0.35436934
SRR5602197,0.359782,0.640218
SRR5601942,0.56847507,0.43152493
SRR5602005,0.6470077,0.35299233
SRR5602030,0.64698756,0.35301238
SRR5602170,0.6527265,0.34727356
SRR5602116,0.111713,0.88828707
SRR5601984,0.6064749,0.39352503
SRR5602293,0.25750282,0.74249715
SRR5602249,0.1050602,0.8949398
SRR5602205,0.5740916,0.42590836
SRR5602031,0.59226817,0.40773183
SRR3679989,0.638605,0.36139497
SRR5602275,0.3551129,0.64488715
SRR5602023,0.65849817,0.3415019
SRR5602292,0.6420726,0.35792735
SRR5602311,0.6470077,0.35299233
SRR5602034,0.6151923,0.38480768
SRR3680093,0.1126846,0.8873154
SRR5602093,0.40509626,0.59490377
SRR5602169,0.6470077,0.35299233
SRR5602153,0.12625356,0.87374645
SRR3680068,0.50111747,0.4988826
SRR3679973,0.6470077,0.35299233
SRR5602115,0.64274395,0.35725605
SRR5601983,0.6466759,0.3533241
SRR5602320,0.12883146,0.8711685
SRR3679988,0.6579438,0.34205624
SRR3680063,0.636307,0.36369306
SRR3679971,0.6266754,0.37332454
SRR5602279,0.111713,0.88828707
SRR5602258,0.11094559,0.8890544
SRR5602285,0.64179623,0.3582037
SRR5602214,0.64691323,0.3530868
SRR3679967,0.62318295,0.37681714
SRR5602297,0.6470077,0.35299233
SRR5602305,0.19719973,0.8028003
SRR5602029,0.6563899,0.34361002
SRR5602337,0.65194446,0.3480555
SRR3680002,0.5943248,0.40567517
SRR5602253,0.20181474,0.7981853
