,root:Elder,root:Young
K106,0.5064853,0.49351475
SRR3680078,0.42691317,0.5730868
SRR5601932,0.5242302,0.47576976
SRR5601995,0.39564565,0.6043544
SRR3680016,0.35690233,0.64309776
SRR5602195,0.55297315,0.4470269
SRR3680065,0.38198754,0.6180124
SRR5602262,0.4782202,0.5217799
SRR5602280,0.03423398,0.965766
SRR3679977,0.39945424,0.60054576
SRR5602314,0.5602251,0.43977493
SRR3679946,0.38736966,0.6126303
SRR5601990,0.0864953,0.9135047
SRR5610012,0.5014091,0.49859083
SRR5602302,0.39215988,0.6078401
SRR5602098,0.38924518,0.6107548
SRR3679987,0.06785723,0.93214273
SRR5601942,0.5136143,0.48638567
SRR5602030,0.55354106,0.44645888
SRR5601984,0.51561755,0.48438245
SRR5602207,0.51432383,0.48567617
SRR5602131,0.40682426,0.5931757
SRR5602205,0.35894686,0.6410532
SRR5602275,0.43380165,0.56619835
SRR5602289,0.10287654,0.8971235
SRR5602101,0.46256885,0.53743124
SRR5602023,0.52838916,0.47161084
SRR5602191,0.08165982,0.9183402
SRR3679936,0.3713947,0.6286053
SRR5602026,0.51319176,0.4868083
SRR5602169,0.5678011,0.43219888
SRR3680074,0.39071137,0.60928863
SRR3679979,0.5400162,0.4599838
SRR3679973,0.028621344,0.9713786
SRR5602151,0.5407843,0.4592157
SRR3679971,0.38123834,0.6187616
SRR3680086,0.42472547,0.5752745
SRR5602194,0.46256885,0.53743124
SRR5602231,0.5505422,0.44945788
SRR5602270,0.37544692,0.624553
C002,0.4289139,0.57108617
SRR5602123,0.53661484,0.46338513
SRR5601959,0.028621344,0.9713786
SRR5602252,0.03789888,0.96210116
SRR5601924,0.48617852,0.5138215
SRR5601989,0.53921044,0.46078962
SRR5602279,0.029490106,0.9705099
SRR3679968,0.5566526,0.4433474
SRR3679975,0.5014091,0.49859083
SRR5602285,0.066664495,0.93333554
SRR5601926,0.40642115,0.5935788
SRR5602332,0.26068282,0.73931724
SRR5602337,0.5014091,0.49859083
SRR5602025,0.38626567,0.6137343
SRR5609969,0.0886194,0.91138065
