,root:Elder,root:Young
K113,0.11130517,0.8886948
K106,0.6266514,0.3733485
K306,0.4819904,0.5180096
SRR3680059,0.61858565,0.38141432
SRR5602038,0.6302486,0.3697513
SRR5602278,0.4566,0.5434
SRR5602230,0.6232567,0.37674332
SRR5602201,0.3715258,0.62847424
SRR3680042,0.6068152,0.3931848
SRR5601932,0.627389,0.37261093
SRR5601995,0.12293244,0.8770675
SRR5602076,0.21275894,0.7872411
SRR3680072,0.54296553,0.4570345
SRR3680065,0.5812699,0.41873008
SRR5602296,0.12337169,0.87662834
SRR3680055,0.63029873,0.3697013
SRR5602342,0.6307673,0.3692327
SRR5601923,0.64107144,0.3589285
SRR5602273,0.11090651,0.8890935
SRR3680064,0.52108765,0.47891235
SRR5602199,0.10818894,0.89181113
SRR5602265,0.13063882,0.8693612
SRR5602207,0.6280267,0.37197334
SRR3680079,0.631528,0.368472
SRR5602154,0.6403963,0.3596037
SRR3679974,0.5602764,0.43972367
SRR3679965,0.6380991,0.36190093
SRR5602101,0.63029873,0.3697013
SRR5602304,0.5207883,0.47921172
SRR5602317,0.62897235,0.37102762
SRR5602023,0.6399802,0.3600198
SRR5602058,0.49587053,0.5041295
SRR3679930,0.6239969,0.37600306
SRR3679936,0.12151115,0.8784889
SRR5602093,0.44879588,0.551204
SRR3679994,0.46387017,0.5361298
SRR5602014,0.33054712,0.66945285
SRR3679976,0.33095434,0.6690456
C054,0.14848408,0.85151595
SRR5602267,0.23175268,0.76824737
SRR5602152,0.17262863,0.8273714
SRR5602263,0.44610378,0.55389625
SRR5602066,0.52831084,0.47168913
SRR5601934,0.63029873,0.3697013
SRR5602189,0.62998307,0.37001696
SRR5601924,0.43156505,0.56843495
SRR5610085,0.108026356,0.8919736
SRR5602214,0.63029844,0.36970153
SRR5602174,0.22838774,0.77161235
SRR3680048,0.5600648,0.43993524
SRR5602020,0.6300911,0.36990896
SRR5601941,0.117344365,0.8826556
SRR5602337,0.6265721,0.37342793
SRR5602315,0.18770032,0.8122997
SRR5602165,0.6219632,0.37803677
