	domain	phylum	order	class	family	genus	quality
1782	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	|99
1787	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|99
1790	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|82
1798	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|94
1800	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	|100
1815	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
1818	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|84
1820	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|100
1821	Bacteria	Firmicutes	Bacilli	Bacillales	unclassified	unclassified	|100
1822	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
1829	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Olsenella	|100
1849	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|88
1850	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	|100
1856	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|100
1858	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|98
1859	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	|100
1860	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|95
1865	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
1867	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Rummeliibacillus	|87
1869	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	|97
1870	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	|98
1873	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|98
1877	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
1880	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
1881	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_SS1	|86
1886	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria	unclassified	|100
1893	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|78
1897	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	|100
1901	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	|100
1903	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	|90
1908	Bacteria	Firmicutes	Bacilli	Bacillales	unclassified	unclassified	|96
1911	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
1917	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
1924	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
1930	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|96
1936	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	|100
1940	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	|100
1947	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	|99
1952	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
1953	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Tissierella	|100
1965	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	unclassified	|98
1968	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
1974	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|73
1976	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|99
1987	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|100
1994	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	|100
1999	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoanaerobaculum	|100
2003	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	|72
2005	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|70
2008	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|98
2021	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	unclassified	|97
2022	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
2026	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|99
2029	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	|88
2033	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	|100
2035	Bacteria	Firmicutes	Bacilli	Lactobacillales	unclassified	unclassified	|77
2041	Bacteria	Cyanobacteria	Chloroplast	unclassified	unclassified	unclassified	|99
2042	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unclassified	|100
2053	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	|99
2054	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	unclassified	|100
2060	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|96
2061	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
2063	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	|100
2071	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	|94
2073	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|94
2075	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	|100
2077	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	|83
2079	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
2082	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|75
2086	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	|97
2087	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	|85
2098	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	|100
2100	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	|100
2108	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|79
2110	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
2111	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|98
2112	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|80
2113	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	|100
2115	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|97
2126	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|94
2127	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	unclassified	|77
2128	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Incertae_Sedis	|84
2138	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|72
2146	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Incertae_Sedis	|100
2161	Bacteria	Firmicutes	Bacilli	Bacillales	unclassified	unclassified	|100
2162	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|90
2163	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|93
2168	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
