,root:Elder,root:Young
K113,0.14626576,0.8537342
SRR5602329,0.73488533,0.26511467
K306,0.1041619,0.8958381
SRR3680016,0.1484186,0.8515814
SRR5602136,0.73401576,0.26598427
SRR5602147,0.7349602,0.26503974
SRR3680055,0.7364507,0.26354924
SRR3680045,0.28586933,0.71413064
SRR5602280,0.112119175,0.8878808
SRR5602226,0.7363332,0.26366687
SRR5602173,0.7348347,0.26516533
SRR5602342,0.7333569,0.26664305
SRR5602338,0.19067344,0.8093265
SRR5602302,0.7248107,0.27518922
SRR5602017,0.735975,0.26402494
SRR3679987,0.13848467,0.8615153
SRR5602196,0.7316871,0.26831284
SRR5602030,0.7364507,0.26354924
SRR5602265,0.40064815,0.5993518
SRR5602207,0.7331493,0.26685062
SRR5602185,0.7361695,0.26383054
SRR5602057,0.73174554,0.26825446
SRR5602249,0.14285953,0.85714054
SRR3679929,0.35420814,0.6457919
SRR5602124,0.58688605,0.4131139
SRR5601985,0.68499833,0.31500167
SRR5602141,0.73290795,0.267092
SRR5602289,0.73642653,0.26357344
SRR5610014,0.7364501,0.26354992
C011,0.55967826,0.4403217
SRR5602191,0.72498536,0.27501458
K108,0.7336533,0.26634666
SRR3680011,0.7364412,0.2635588
SRR5602311,0.7364507,0.26354924
SRR5602035,0.6809665,0.31903344
SRR5602022,0.718947,0.281053
SRR5602014,0.6715206,0.32847944
SRR5601983,0.7364501,0.2635499
K124,0.047505148,0.95249486
SRR5602225,0.7364507,0.26354924
SRR5601927,0.72689044,0.27310956
SRR3679998,0.71741563,0.2825844
SRR3679971,0.7288084,0.2711916
SRR5602027,0.5034539,0.4965461
SRR5602231,0.73630655,0.26369348
SRR3680017,0.6449946,0.35500535
SRR5602318,0.7249913,0.27500862
SRR3679975,0.7364507,0.26354927
K105,0.6537881,0.3462119
SRR5602036,0.7217508,0.2782492
SRR3680007,0.7364507,0.26354924
SRR5601986,0.7364507,0.26354924
SRR5610008,0.7349977,0.26500228
SRR5602100,0.73523694,0.26476306
SRR5609969,0.7360647,0.2639354
