,root:Elder,root:Young
S320,0.031628612,0.9683714
S290,0.05504071,0.94495934
SRR5602345,0.09704192,0.9029581
S330,0.048189245,0.9518108
SRR5602125,0.030654527,0.96934545
SRR5602220,0.26965562,0.7303444
S050,0.06990493,0.930095
S080,0.028621344,0.9713786
SRR5602155,0.54767746,0.45232257
SRR5602193,0.5094541,0.49054593
SRR5602335,0.52984226,0.47015774
SRR5602119,0.42110646,0.57889354
S150,0.028931746,0.97106826
SRR5602179,0.44516075,0.55483925
SRR3679961,0.5306203,0.46937975
SRR5602134,0.5324087,0.46759126
S130,0.043486997,0.95651305
S200,0.11202355,0.88797647
S210,0.029501515,0.97049856
SRR5602290,0.045525927,0.95447403
SRR5602138,0.42102864,0.5789713
C052,0.16729783,0.83270216
C012,0.052272394,0.9477276
SRR5602168,0.037347198,0.96265286
SRR5602159,0.5136068,0.48639318
SRR5602160,0.5138547,0.48614532
SRR5602010,0.5541252,0.44587475
C010,0.043596193,0.9564038
S240,0.029793441,0.9702066
S030,0.5665541,0.4334459
SRR5602324,0.38468188,0.6153181
SRR3679980,0.028621344,0.9713786
SRR5602349,0.5168184,0.48318154
S110,0.5309007,0.46909934
SRR5602182,0.5014091,0.49859083
S100,0.056624327,0.9433757
C042,0.037237544,0.9627625
SRR5602351,0.54094666,0.45905328
SRR5602333,0.04259795,0.957402
S220,0.3868627,0.61313736
SRR5602092,0.4132654,0.58673453
S120,0.24873321,0.75126684
SRR5602260,0.08056619,0.91943383
SRR5602284,0.5014091,0.49859083
C021,0.34607702,0.653923
SRR5602256,0.18051447,0.81948555
SRR5602234,0.4742238,0.5257762
SRR5602210,0.4803727,0.51962733
S010,0.036604736,0.96339524
S280,0.53849846,0.46150163
S260,0.045457374,0.9545426
S020,0.3875571,0.61244285
SRR5602016,0.53127176,0.46872827
S180,0.5014091,0.49859083
SRR5602145,0.43625614,0.5637439
