,root:Elder,root:Young
S320,0.6530066,0.34699336
S290,0.6519812,0.34801885
SRR5602345,0.66670454,0.33329543
S330,0.65813136,0.3418686
SRR5602125,0.66691345,0.3330866
SRR5602220,0.6241819,0.37581804
S050,0.11810339,0.8818967
S080,0.66691345,0.33308658
SRR5602155,0.67750347,0.32249656
SRR5602193,0.39026415,0.60973585
SRR5602335,0.6776926,0.32230732
SRR5602119,0.6432105,0.35678956
S150,0.11775101,0.882249
SRR5602179,0.67299706,0.327003
SRR3679961,0.6646768,0.33532318
SRR5602134,0.67614645,0.32385352
S130,0.12696144,0.87303853
S200,0.66693795,0.33306205
S210,0.13707902,0.86292094
SRR5602290,0.66517645,0.33482352
SRR5602138,0.22546062,0.77453935
C052,0.66680497,0.333195
C012,0.66691345,0.33308658
SRR5602168,0.11779822,0.8822018
SRR5602159,0.52667433,0.47332567
SRR5602160,0.6550243,0.34497568
SRR5602010,0.66691333,0.33308664
C010,0.57628834,0.4237117
S240,0.66113913,0.33886087
S030,0.11997975,0.8800202
SRR5602324,0.56922793,0.43077207
SRR3679980,0.66691345,0.33308658
SRR5602349,0.20264325,0.7973568
S110,0.11762914,0.8823709
SRR5602182,0.67739636,0.3226037
S100,0.636577,0.36342302
C042,0.6665946,0.33340535
SRR5602351,0.67782056,0.32217938
SRR5602333,0.1274714,0.8725286
S220,0.6442732,0.35572678
SRR5602092,0.66430503,0.33569497
S120,0.677168,0.32283202
SRR5602260,0.66689855,0.33310148
SRR5602284,0.66676986,0.33323017
C021,0.66691345,0.33308658
SRR5602256,0.16359425,0.83640575
SRR5602234,0.64334995,0.35665002
SRR5602210,0.16006166,0.83993834
S010,0.11751536,0.8824847
S280,0.67745423,0.32254574
S260,0.5996001,0.4003999
S020,0.6661748,0.3338252
SRR5602016,0.66054803,0.33945197
S180,0.6769169,0.32308307
SRR5602145,0.63993293,0.36006704
