,root:Elder,root:Young
K106,0.5486811,0.4513189
SRR5601925,0.43970707,0.56029296
SRR5601929,0.4408636,0.55913645
K119,0.38592297,0.61407703
SRR5601965,0.5028,0.49720004
SRR3680034,0.4186209,0.5813791
SRR5602060,0.5728943,0.4271057
SRR5602202,0.5348096,0.46519044
SRR5602343,0.47292608,0.5270739
SRR3679977,0.43136227,0.56863767
SRR5602327,0.5366749,0.46332505
SRR5602342,0.573041,0.426959
SRR5610010,0.567946,0.43205398
SRR5601990,0.5686545,0.4313455
SRR5602143,0.5692415,0.43075857
SRR5602017,0.5691168,0.4308832
SRR5602099,0.55777246,0.4422275
SRR5602015,0.535572,0.464428
SRR3680043,0.4439595,0.5560406
SRR5602097,0.0375229,0.96247715
SRR5601993,0.4560224,0.54397756
SRR5602124,0.52864903,0.471351
SRR5602154,0.57286954,0.4271305
SRR3679989,0.40312788,0.59687215
SRR5602275,0.4386915,0.5613085
SRR5602289,0.5693532,0.43064672
SRR3680085,0.5686861,0.43131393
SRR5602035,0.43992394,0.5600761
SRR5602245,0.5729072,0.42709273
SRR3680036,0.4290569,0.5709431
SRR3680080,0.5685583,0.43144166
SRR3679996,0.57259285,0.4274071
SRR3680067,0.539683,0.46031705
SRR5601927,0.41892946,0.58107054
SRR5602175,0.5345999,0.46540007
K316,0.041784395,0.95821553
SRR5802183,0.04031025,0.9596898
SRR3680046,0.57112867,0.42887124
SRR3679945,0.43612245,0.5638776
SRR5602027,0.4419489,0.55805117
SRR3680058,0.5697277,0.4302723
SRR5602313,0.043666583,0.95633346
SRR5602270,0.4145718,0.58542824
SRR5602203,0.56564903,0.434351
C018,0.43198013,0.56801987
SRR3680049,0.10435039,0.8956497
SRR5602123,0.5723924,0.42760757
SRR5601924,0.4732673,0.52673274
SRR5601989,0.5728695,0.4271305
SRR5602258,0.028820328,0.97117966
SRR3679968,0.5730504,0.4269496
SRR5602297,0.432328,0.567672
SRR5602036,0.51216227,0.4878378
SRR5602332,0.432328,0.567672
SRR5602264,0.57296705,0.42703292
