,root:Elder,root:Young
SRR3680059,0.6832814,0.31671858
SRR5602233,0.6693629,0.33063707
SRR5601965,0.64688647,0.35311344
SRR5602262,0.59885085,0.40114918
SRR5602280,0.12361343,0.87638664
SRR5601931,0.17667544,0.82332456
SRR5602202,0.682318,0.31768206
SRR3679946,0.13350251,0.86649746
SRR5602224,0.142395,0.857605
SRR5602341,0.68484193,0.31515807
SRR5601923,0.6847782,0.31522173
SRR5602273,0.12480839,0.87519157
SRR3680064,0.6468842,0.3531158
SRR5602316,0.18952094,0.81047904
SRR3680043,0.65764403,0.34235597
SRR5602215,0.124132074,0.87586796
SRR5602197,0.5715959,0.42840412
SRR5602130,0.1471504,0.8528496
SRR5602011,0.6485785,0.35142154
SRR5602170,0.6841023,0.3158977
SRR5601993,0.6198937,0.38010624
SRR5602124,0.44507426,0.55492574
SRR5602205,0.14851777,0.8514822
SRR5602122,0.24189745,0.75810254
SRR5601985,0.6417654,0.35823455
SRR5602275,0.55533403,0.444666
SRR5602191,0.6801519,0.31984812
SRR3680093,0.12442561,0.8755744
C003,0.3967591,0.6032409
C048,0.6847396,0.31526035
SRR3680053,0.6836945,0.31630552
SRR3679973,0.032854207,0.9671458
C054,0.12434778,0.8756522
SRR5602225,0.68484193,0.31515807
SRR3680083,0.6838635,0.31613648
SRR3679996,0.6834276,0.31657246
SRR5601927,0.5170901,0.48290995
SRR5602194,0.1243715,0.87562853
SRR5602062,0.11140841,0.8885915
SRR5602263,0.6600039,0.3399961
SRR5602027,0.62579453,0.37420544
SRR5602270,0.12957296,0.870427
SRR3680017,0.64518154,0.35481846
SRR5601934,0.68484193,0.31515807
SRR5602177,0.68484193,0.31515807
SRR5602176,0.6847869,0.3152131
SRR5602257,0.2865772,0.71342283
SRR5602279,0.12475726,0.8752427
SRR5602258,0.124174036,0.875826
SRR5602318,0.66114557,0.33885443
SRR5602246,0.12605307,0.87394696
SRR5602036,0.6319661,0.36803395
SRR5602339,0.6637292,0.3362708
SRR3680007,0.6848418,0.3151582
K125,0.12601522,0.87398475
