,root:Elder,root:Young
K306,0.038464602,0.9615354
SRR5602306,0.37341395,0.626586
SRR5602140,0.38389894,0.6161011
SRR5601967,0.036102757,0.9638973
SRR3679990,0.36544052,0.63455945
SRR5602183,0.53820074,0.4617993
SRR5601923,0.5685261,0.43147385
SRR5602273,0.044677556,0.95532244
SRR5602178,0.042653833,0.9573462
SRR5602021,0.36704952,0.6329505
SRR3679987,0.57000375,0.42999625
SRR5602184,0.20383388,0.79616606
SRR5602215,0.038903516,0.9610965
SRR5601992,0.15479514,0.8452049
SRR5602131,0.39068654,0.6093135
SRR5602063,0.4074442,0.5925558
SRR3680079,0.54435307,0.45564696
SRR5602205,0.30561525,0.69438475
SRR5602031,0.47827008,0.52172995
SRR5602023,0.5575659,0.44243416
SRR5602311,0.06621054,0.9337895
SRR5602034,0.41292688,0.58707315
SRR5602035,0.3399721,0.6600279
SRR3679936,0.30010954,0.69989043
SRR5602093,0.35417306,0.64582694
SRR3680044,0.43217257,0.56782734
SRR3680074,0.33644363,0.6635564
SRR5602153,0.5465932,0.45340678
SRR5601928,0.5383831,0.46161687
C054,0.04890817,0.9510918
SRR5602248,0.5057618,0.49423823
SRR5602320,0.21568865,0.7843113
SRR5602223,0.2548357,0.7451643
SRR5602151,0.54243106,0.4575689
SRR3680086,0.34088558,0.6591144
SRR5602312,0.5547339,0.4452661
SRR5602027,0.35568994,0.64431006
SRR5602271,0.028621284,0.9713787
SRR5602203,0.5506693,0.44933072
SRR3680017,0.27983326,0.72016674
C018,0.53614575,0.46385428
SRR3680049,0.02862123,0.9713787
C002,0.36137933,0.6386207
SRR5602123,0.5681351,0.43186495
SRR5602032,0.38716787,0.6128321
SRR5602142,0.5675162,0.43248382
SRR5601959,0.02862123,0.9713787
SRR5602257,0.5160426,0.48395738
SRR5602299,0.42672488,0.5732751
SRR5602012,0.54058766,0.45941234
SRR5602157,0.22560415,0.7743958
SRR5602332,0.11603714,0.88396287
SRR5602020,0.44992912,0.55007094
SRR5610008,0.048014503,0.95198554
SRR5602253,0.4404873,0.5595127
