,root:Elder,root:Young
S320,0.029346554,0.9706534
S290,0.049715385,0.9502846
SRR5602345,0.5671944,0.43280566
S330,0.5683302,0.4316698
SRR5602125,0.029725073,0.9702749
SRR5602220,0.56840205,0.431598
S050,0.059268925,0.94073105
S080,0.5027812,0.49721882
SRR5602155,0.56877494,0.4312251
SRR5602193,0.3340998,0.6659002
SRR5602335,0.57101285,0.42898712
SRR5602119,0.49745733,0.50254273
S150,0.0288274,0.9711726
SRR5602179,0.529927,0.470073
SRR3679961,0.5715149,0.42848513
SRR5602134,0.56895304,0.43104696
S130,0.03890045,0.9610996
S200,0.5717726,0.42822742
S210,0.029044213,0.9709557
SRR5602290,0.030115653,0.96988434
SRR5602138,0.38260648,0.61739355
C052,0.5680509,0.4319491
C012,0.1460088,0.8539912
SRR5602168,0.03430981,0.9656902
SRR5602159,0.28206983,0.71793014
SRR5602160,0.57237893,0.42762113
SRR5602010,0.5684729,0.43152714
C010,0.038567856,0.96143216
S240,0.028968388,0.9710316
S030,0.43715852,0.5628414
SRR5602324,0.40486497,0.59513503
SRR3679980,0.028800128,0.97119987
SRR5602349,0.43132734,0.5686727
S110,0.5389682,0.46103182
SRR5602182,0.56907934,0.43092066
S100,0.055271134,0.9447288
C042,0.034451474,0.9655485
SRR5602351,0.5686796,0.4313204
SRR5602333,0.03364313,0.96635693
S220,0.56507146,0.43492854
SRR5602092,0.50286776,0.49713215
S120,0.572741,0.427259
SRR5602260,0.53424156,0.46575844
SRR5602284,0.5683145,0.43168548
C021,0.5693407,0.43065923
SRR5602256,0.42959434,0.5704057
SRR5602234,0.44782308,0.55217695
SRR5602210,0.5689155,0.43108454
S010,0.03612167,0.96387833
S280,0.56803256,0.4319674
S260,0.104471035,0.895529
S020,0.36412272,0.63587725
SRR5602016,0.5493914,0.45060858
S180,0.5689741,0.4310259
SRR5602145,0.4288624,0.57113755
