,root:Elder,root:Young
SRR5602136,0.677607,0.32239297
SRR5602233,0.66989064,0.3301093
SRR5602296,0.29823038,0.70176953
SRR3679990,0.6648943,0.33510575
SRR3679977,0.6566173,0.34338275
SRR5602314,0.68066746,0.3193325
SRR5602224,0.10433661,0.89566344
SRR5610012,0.680325,0.3196751
SRR5602198,0.6797786,0.32022148
SRR5602167,0.6778464,0.3221536
SRR5602184,0.599862,0.40013805
SRR3680043,0.6669298,0.33307022
SRR5602030,0.6806015,0.31939855
SRR5602199,0.51099193,0.48900804
SRR5601984,0.6462512,0.35374886
SRR5602186,0.1274422,0.8725579
SRR5602249,0.033534035,0.966466
SRR5602063,0.6797792,0.3202209
SRR3679929,0.19349124,0.8065088
SRR5602124,0.4192371,0.5807629
SRR5602354,0.68081814,0.31918183
SRR5602205,0.5372845,0.46271548
SRR5602172,0.50164664,0.49835336
SRR3679989,0.6717454,0.32825458
SRR5601985,0.6051187,0.3948813
SRR5610014,0.6806447,0.31935537
C011,0.4098385,0.5901615
SRR5601982,0.6623323,0.33766767
SRR3680093,0.14987752,0.8501226
SRR5602022,0.60783476,0.3921652
SRR5602232,0.5835936,0.41640642
SRR3679973,0.033534035,0.966466
C054,0.41767883,0.58232117
SRR5602095,0.68066746,0.3193325
SRR5602320,0.13196927,0.8680307
SRR5602223,0.13050835,0.8694916
SRR5602152,0.6780152,0.32198483
SRR3680035,0.30990088,0.6900992
SRR5602066,0.5785519,0.42144808
SRR5602032,0.5607577,0.43924233
SRR5602218,0.5220084,0.47799164
SRR3680070,0.63067895,0.369321
SRR5602177,0.68066746,0.3193325
SRR5602148,0.20214327,0.7978567
SRR5602252,0.12480033,0.8751996
SRR5602246,0.1265736,0.8734264
SRR5602214,0.68066245,0.31933758
SRR5602012,0.42167848,0.5783215
SRR5602036,0.6604339,0.33956608
SRR5602079,0.67261326,0.32738677
SRR5601926,0.6570887,0.34291127
SRR5601986,0.68066746,0.3193325
SRR5602029,0.5837344,0.41626564
SRR5602100,0.6659473,0.33405265
SRR5609969,0.6772216,0.32277837
