,root:Elder,root:Young
SRR3680059,0.316421,0.68357897
SRR5602278,0.032340296,0.9676597
SRR3679963,0.20797591,0.79202414
SRR5602306,0.21380408,0.7861959
SRR5602018,0.2129155,0.7870845
SRR5602224,0.49051186,0.50948805
SRR5602302,0.34724638,0.65275365
SRR5602198,0.5696901,0.43030986
SRR3680064,0.29693004,0.7030699
C024,0.033654395,0.96634555
SRR5602011,0.20432322,0.79567677
SRR5602005,0.028621402,0.9713786
SRR5602199,0.20987932,0.7901206
SRR5602293,0.16834675,0.8316533
SRR5602294,0.5407277,0.45927235
SRR3680079,0.5645046,0.4354954
SRR5602122,0.23514228,0.76485777
SRR5602154,0.55477476,0.44522524
SRR5602141,0.25044873,0.7495513
SRR3680085,0.5683304,0.4316696
SRR5610014,0.5667455,0.43325445
C011,0.3975888,0.6024112
SRR5602317,0.03566178,0.9643382
SRR5602023,0.5704312,0.42956883
K108,0.50434154,0.49565846
SRR5602292,0.52828985,0.4717102
SRR3679936,0.22163877,0.77836126
SRR5602169,0.08717278,0.9128272
SRR3679976,0.3228728,0.6771272
SRR5601983,0.56647664,0.4335233
SRR5602248,0.4101804,0.5898196
SRR5602320,0.24448839,0.75551164
SRR5602223,0.28715116,0.71284884
SRR3679969,0.23173924,0.7682607
SRR5602353,0.5688493,0.43115065
SRR5602151,0.56133467,0.43866533
SRR3679991,0.20739645,0.7926036
SRR3680086,0.20298451,0.7970155
SRR5602027,0.21858479,0.7814152
SRR5602123,0.028621402,0.9713786
SRR5602142,0.5704234,0.42957658
SRR5601959,0.028621402,0.9713786
SRR5602176,0.56662524,0.43337482
SRR5602257,0.3293169,0.6706831
SRR5602258,0.029674876,0.9703251
SRR5602299,0.43225512,0.5677449
SRR5602246,0.073042735,0.92695725
SRR5602285,0.15538543,0.84461457
SRR5602012,0.5517835,0.44821656
SRR5602187,0.035994112,0.96400595
SRR5602331,0.028621402,0.9713786
SRR5602297,0.035150994,0.96484905
SRR5602339,0.033985555,0.9660145
SRR5602337,0.56988096,0.43011898
SRR5609969,0.14846979,0.8515302
