,root:Elder,root:Young
SRR5601925,0.25663403,0.74336594
SRR5602230,0.50142246,0.49857754
SRR3680042,0.54167026,0.4583297
SRR5601932,0.5285733,0.47142673
SRR3680016,0.30238315,0.6976168
SRR5602147,0.056313876,0.9436861
SRR5602008,0.5616165,0.43838346
SRR5601965,0.21098289,0.7890171
SRR3680055,0.04454168,0.95545834
SRR5602321,0.5014091,0.49859083
SRR3680034,0.29566196,0.704338
SRR5601931,0.28876555,0.71123445
SRR5602266,0.29712555,0.7028745
SRR3679977,0.2548658,0.74513423
SRR5601990,0.06251411,0.93748593
SRR5602273,0.05063663,0.94936335
SRR5602302,0.37267718,0.6273228
SRR5602021,0.36256337,0.63743657
SRR3679987,0.067744635,0.9322553
SRR5602196,0.03655273,0.9634473
SRR5602184,0.19517864,0.8048214
SRR5602097,0.040471595,0.9595284
SRR5602130,0.2944756,0.7055244
SRR5601942,0.39228272,0.6077173
K100,0.3955158,0.60448414
SRR5610011,0.06902724,0.93097275
SRR5602265,0.19112599,0.80887395
SRR5602249,0.02862089,0.97137916
SRR5602294,0.5354164,0.46458355
SRR5602250,0.5059695,0.49403054
SRR5602354,0.5546821,0.4453179
SRR5602122,0.30991903,0.69008094
SRR5602275,0.29183748,0.7081625
SRR5602023,0.5474759,0.4525241
SRR5602292,0.5236866,0.4763134
C003,0.38742048,0.6125795
SRR5602026,0.31495467,0.68504536
SRR5602286,0.5555285,0.44447154
SRR5602115,0.33955264,0.6604474
SRR5602166,0.5014091,0.49859083
SRR3680067,0.26882753,0.73117256
SRR5602320,0.18481593,0.815184
SRR3680063,0.26479775,0.73520225
SRR5602213,0.062372215,0.9376278
K316,0.051593132,0.94840693
SRR5602027,0.28969845,0.7103015
SRR5602247,0.5161826,0.48381737
C002,0.17182885,0.8281712
SRR5601934,0.028716156,0.9712839
SRR5602157,0.3847776,0.61522233
SRR5602094,0.5113312,0.48866883
SRR5602079,0.39332128,0.6066787
SRR5602332,0.35999146,0.64000857
SRR5602121,0.5404606,0.4595394
SRR3680002,0.3463699,0.65363014
