,root:Elder,root:Young
S320,0.7117427,0.28825727
S290,0.71009266,0.28990737
SRR5602345,0.73116994,0.26883006
S330,0.72701645,0.27298355
SRR5602125,0.14053461,0.8594655
SRR5602220,0.7047612,0.29523873
S050,0.65200734,0.3479926
S080,0.73163295,0.26836708
SRR5602155,0.72675353,0.27324647
SRR5602193,0.66725826,0.3327418
SRR5602335,0.72813964,0.27186033
SRR5602119,0.70896536,0.29103464
S150,0.65093195,0.3490681
SRR5602179,0.726965,0.2730349
SRR3679961,0.73073393,0.269266
SRR5602134,0.7289561,0.27104396
S130,0.2132188,0.78678125
S200,0.73136544,0.26863453
S210,0.13808899,0.86191106
SRR5602290,0.73163295,0.26836708
SRR5602138,0.62405074,0.37594926
C052,0.73143435,0.26856562
C012,0.72813743,0.2718626
SRR5602168,0.13771929,0.86228067
SRR5602159,0.6325439,0.36745605
SRR5602160,0.7152419,0.28475812
SRR5602010,0.72998554,0.2700145
C010,0.20765118,0.7923488
S240,0.15611242,0.84388757
S030,0.7051062,0.29489386
SRR5602324,0.63278157,0.3672184
SRR3679980,0.73163295,0.26836708
SRR5602349,0.20933214,0.79066783
S110,0.7279681,0.27203193
SRR5602182,0.7312375,0.26876253
S100,0.7070296,0.29297048
C042,0.7310168,0.26898322
SRR5602351,0.7310708,0.26892912
SRR5602333,0.6697302,0.33026984
S220,0.72957885,0.27042112
SRR5602092,0.7160544,0.28394562
S120,0.72409755,0.27590242
SRR5602260,0.7316325,0.26836753
SRR5602284,0.73155844,0.2684416
C021,0.73163295,0.26836708
SRR5602256,0.23159508,0.7684049
SRR5602234,0.68937445,0.31062558
SRR5602210,0.61702263,0.3829773
S010,0.13657854,0.86342144
S280,0.7295619,0.27043813
S260,0.57489765,0.42510235
S020,0.73006964,0.26993042
SRR5602016,0.7160125,0.28398755
S180,0.7313519,0.2686481
SRR5602145,0.33999017,0.6600098
