,root:Elder,root:Young
K306,0.12604338,0.8739566
SRR5602201,0.6127614,0.38723862
SRR3680016,0.15120737,0.8487926
SRR5602306,0.18414989,0.8158501
SRR5602008,0.6880564,0.3119436
SRR5601965,0.6253724,0.37462753
SRR5602018,0.14026888,0.85973114
SRR3680055,0.6943969,0.3056031
SRR5601994,0.61878526,0.38121477
SRR5601967,0.6781128,0.32188722
SRR3679990,0.5976016,0.40239838
SRR5602202,0.67971635,0.32028368
SRR5602342,0.68847215,0.31152782
SRR5602261,0.43550265,0.5644973
SRR5602135,0.13897887,0.86102116
SRR5601990,0.58237845,0.41762152
SRR5602184,0.67337495,0.32662505
SRR5602215,0.12316961,0.87683034
SRR3680031,0.42143,0.57856995
SRR3679970,0.52456063,0.4754393
SRR5602328,0.6919587,0.3080413
SRR5602054,0.6941847,0.30581525
SRR3680079,0.6649478,0.33505222
SRR3679929,0.1475162,0.8524838
SRR3679989,0.67801243,0.32198754
SRR5601985,0.60623574,0.3937643
SRR5602289,0.69302243,0.30697763
SRR3680085,0.69204265,0.30795735
SRR5610014,0.69428474,0.30571523
SRR3680011,0.69389814,0.3061019
SRR5601982,0.5571195,0.44288054
C003,0.22668952,0.77331054
SRR5602169,0.6943969,0.3056031
SRR3680080,0.68896157,0.31103843
SRR5601983,0.6941013,0.30589876
SRR5602320,0.13200207,0.86799794
SRR5602267,0.31638795,0.6836121
SRR3679998,0.5836817,0.41631833
SRR5602096,0.18698719,0.81301284
SRR3680086,0.6846662,0.31533375
SRR3679945,0.6655055,0.33449447
SRR3680035,0.39960393,0.6003961
SRR5602330,0.69058126,0.30941874
SRR5602027,0.5769679,0.42303213
SRR3680024,0.12713993,0.8728601
SRR5602270,0.17466462,0.8253354
SRR3680049,0.66389656,0.33610344
SRR5602177,0.6943969,0.3056031
SRR5602148,0.68374634,0.31625372
SRR5602257,0.31907406,0.68092597
SRR5602036,0.6911748,0.30882525
SRR5602315,0.19571322,0.8042868
SRR5602025,0.61300504,0.38699496
K125,0.14442913,0.85557085
SRR5602165,0.57460696,0.42539304
