,SampleID,Env,Region,Contribution
SRR5602168,,Senior,Jiangsu,0.13035809
SRR5602168,,Young,Jiangsu,0.86964196
SRR5602179,,Senior,Jiangsu,0.6785489
SRR5602179,,Young,Jiangsu,0.32145107
SRR5602182,,Senior,Jiangsu,0.6934768
SRR5602182,,Young,Jiangsu,0.30652323
SRR5602193,,Senior,Jiangsu,0.6523501
SRR5602193,,Young,Jiangsu,0.34764984
SRR5602210,,Senior,Jiangsu,0.59711313
SRR5602210,,Young,Jiangsu,0.4028869
SRR5602220,,Senior,Jiangsu,0.68785346
SRR5602220,,Young,Jiangsu,0.31214657
SRR5602234,,Senior,Jiangsu,0.61356527
SRR5602234,,Young,Jiangsu,0.38643467
SRR5602256,,Senior,Jiangsu,0.14713068
SRR5602256,,Young,Jiangsu,0.85286933
SRR5602260,,Senior,Jiangsu,0.67879593
SRR5602260,,Young,Jiangsu,0.32120407
SRR5602284,,Senior,Jiangsu,0.6789897
SRR5602284,,Young,Jiangsu,0.3210103
SRR5602290,,Senior,Jiangsu,0.12273152
SRR5602290,,Young,Jiangsu,0.8772685
SRR5602324,,Senior,Jiangsu,0.5819259
SRR5602324,,Young,Jiangsu,0.4180741
SRR5602333,,Senior,Jiangsu,0.51878667
SRR5602333,,Young,Jiangsu,0.48121333
SRR5602335,,Senior,Jiangsu,0.6584071
SRR5602335,,Young,Jiangsu,0.34159288
SRR5602345,,Senior,Jiangsu,0.6774035
SRR5602345,,Young,Jiangsu,0.3225965
SRR5602349,,Senior,Jiangsu,0.27657628
SRR5602349,,Young,Jiangsu,0.7234237
SRR5602351,,Senior,Jiangsu,0.6917431
SRR5602351,,Young,Jiangsu,0.30825686
C010,,Senior,Italy,0.230003
C010,,Young,Italy,0.76999694
C012,,Senior,Italy,0.10761326
C012,,Young,Italy,0.8923867
C021,,Senior,Italy,0.63029873
C021,,Young,Italy,0.3697013
C042,,Senior,Italy,0.039103676
C042,,Young,Italy,0.9608964
C052,,Senior,Italy,0.6302118
C052,,Young,Italy,0.36978817
S010,,Senior,Italy,0.17042263
S010,,Young,Italy,0.8295773
S020,,Senior,Italy,0.6300946
S020,,Young,Italy,0.3699054
S030,,Senior,Italy,0.11361779
S030,,Young,Italy,0.8863822
S050,,Senior,Italy,0.20063028
S050,,Young,Italy,0.7993697
S080,,Senior,Italy,0.63029873
S080,,Young,Italy,0.3697013
S100,,Senior,Italy,0.37933213
S100,,Young,Italy,0.6206679
S110,,Senior,Italy,0.107861705
S110,,Young,Italy,0.8921383
S120,,Senior,Italy,0.6283932
S120,,Young,Italy,0.37160683
S130,,Senior,Italy,0.111143604
S130,,Young,Italy,0.8888564
S150,,Senior,Italy,0.1015015
S150,,Young,Italy,0.8984985
S180,,Senior,Italy,0.6414076
S180,,Young,Italy,0.3585924
S200,,Senior,Italy,0.12160961
S200,,Young,Italy,0.8783904
S210,,Senior,Italy,0.043029897
S210,,Young,Italy,0.95697016
S220,,Senior,Italy,0.13977851
S220,,Young,Italy,0.8602215
S240,,Senior,Italy,0.285824
S240,,Young,Italy,0.71417594
S260,,Senior,Italy,0.3086672
S260,,Young,Italy,0.6913328
S280,,Senior,Italy,0.61211336
S280,,Young,Italy,0.38788664
S290,,Senior,Italy,0.33871984
S290,,Young,Italy,0.66128016
S320,,Senior,Italy,0.10721236
S320,,Young,Italy,0.8927877
S330,,Senior,Italy,0.20926464
S330,,Young,Italy,0.79073536
SRR3679961,,Senior,Sichuan,0.10817832
SRR3679961,,Young,Sichuan,0.8918216
SRR3679980,,Senior,Sichuan,0.63029873
SRR3679980,,Young,Sichuan,0.3697013
SRR5602010,,Senior,Jiangsu,0.64131904
SRR5602010,,Young,Jiangsu,0.35868096
SRR5602016,,Senior,Jiangsu,0.63563406
SRR5602016,,Young,Jiangsu,0.3643659
SRR5602092,,Senior,Jiangsu,0.6285927
SRR5602092,,Young,Jiangsu,0.3714072
SRR5602119,,Senior,Jiangsu,0.59052545
SRR5602119,,Young,Jiangsu,0.40947452
SRR5602125,,Senior,Jiangsu,0.10784047
SRR5602125,,Young,Jiangsu,0.8921596
SRR5602134,,Senior,Jiangsu,0.6410331
SRR5602134,,Young,Jiangsu,0.35896686
SRR5602138,,Senior,Jiangsu,0.4641548
SRR5602138,,Young,Jiangsu,0.5358452
SRR5602145,,Senior,Jiangsu,0.29531166
SRR5602145,,Young,Jiangsu,0.7046884
SRR5602155,,Senior,Jiangsu,0.6385856
SRR5602155,,Young,Jiangsu,0.36141437
SRR5602159,,Senior,Jiangsu,0.6110111
SRR5602159,,Young,Jiangsu,0.38898894
SRR5602160,,Senior,Jiangsu,0.6243002
SRR5602160,,Young,Jiangsu,0.37569985
SRR5602168,,Senior,Jiangsu,0.10956385
SRR5602168,,Young,Jiangsu,0.8904361
SRR5602179,,Senior,Jiangsu,0.6328205
SRR5602179,,Young,Jiangsu,0.36717948
