,root:Elder,root:Young
S320,0.032189194,0.96781087
S290,0.06665809,0.93334186
SRR5602345,0.5469789,0.45302114
S330,0.5535714,0.4464286
SRR5602125,0.032563474,0.9674365
SRR5602220,0.54921854,0.45078143
S050,0.078106865,0.9218931
S080,0.028621547,0.9713785
SRR5602155,0.561504,0.43849596
SRR5602193,0.44259992,0.55740005
SRR5602335,0.5235617,0.47643837
SRR5602119,0.33675852,0.6632415
S150,0.028968997,0.971031
SRR5602179,0.028621547,0.9713785
SRR3679961,0.518951,0.48104903
SRR5602134,0.5602759,0.4397241
S130,0.13984089,0.8601591
S200,0.20919943,0.79080063
S210,0.028919706,0.9710803
SRR5602290,0.0374291,0.9625709
SRR5602138,0.33909145,0.6609085
C052,0.5699511,0.4300489
C012,0.069103636,0.9308964
SRR5602168,0.059482336,0.94051766
SRR5602159,0.3476615,0.6523385
SRR5602160,0.54353184,0.4564682
SRR5602010,0.56975067,0.43024936
C010,0.056851342,0.9431486
S240,0.029981585,0.97001845
S030,0.3502955,0.6497045
SRR5602324,0.31183714,0.6881629
SRR3679980,0.028621547,0.9713785
SRR5602349,0.4342614,0.56573856
S110,0.12787515,0.87212485
SRR5602182,0.56736237,0.43263763
S100,0.12817365,0.8718264
C042,0.063660145,0.93633986
SRR5602351,0.5692764,0.43072364
SRR5602333,0.04325719,0.9567428
S220,0.49763,0.50237
SRR5602092,0.38386005,0.61614
S120,0.5554953,0.44450474
SRR5602260,0.3525696,0.6474304
SRR5602284,0.57043093,0.42956904
C021,0.5406631,0.45933694
SRR5602256,0.40715304,0.592847
SRR5602234,0.41085258,0.58914745
SRR5602210,0.5310021,0.46899793
S010,0.058597345,0.94140273
S280,0.5704225,0.42957756
S260,0.13821274,0.86178726
S020,0.5342165,0.46578342
SRR5602016,0.523261,0.4767389
S180,0.56773144,0.4322686
SRR5602145,0.16975175,0.83024824
