,root:Elder,root:Young
S320,0.14428164,0.8557184
S290,0.6941999,0.30580002
SRR5602345,0.71369207,0.28630793
S330,0.7220254,0.27797464
SRR5602125,0.12915622,0.87084377
SRR5602220,0.65025693,0.34974304
S050,0.18330078,0.81669927
S080,0.706036,0.29396406
SRR5602155,0.7281928,0.27180716
SRR5602193,0.6662643,0.3337357
SRR5602335,0.7189341,0.2810659
SRR5602119,0.7068198,0.29318017
S150,0.13116866,0.86883134
SRR5602179,0.68024904,0.31975096
SRR3679961,0.6089866,0.39101338
SRR5602134,0.73470557,0.2652945
S130,0.29377434,0.7062257
S200,0.72700596,0.27299395
S210,0.4536131,0.5463869
SRR5602290,0.706292,0.29370803
SRR5602138,0.6526895,0.34731045
C052,0.70623416,0.2937658
C012,0.13441072,0.8655893
SRR5602168,0.13110085,0.86889917
SRR5602159,0.7084816,0.29151836
SRR5602160,0.68739,0.31261003
SRR5602010,0.7334651,0.26653495
C010,0.19334011,0.8066599
S240,0.44993812,0.5500619
S030,0.13098909,0.869011
SRR5602324,0.6591594,0.3408406
SRR3679980,0.706036,0.29396406
SRR5602349,0.49701717,0.5029828
S110,0.13115548,0.8688445
SRR5602182,0.73076284,0.2692372
S100,0.5990057,0.40099433
C042,0.15603463,0.84396535
SRR5602351,0.73288506,0.26711503
SRR5602333,0.41794786,0.5820521
S220,0.40839478,0.5916052
SRR5602092,0.7197118,0.28028822
S120,0.67857915,0.32142076
SRR5602260,0.70606405,0.29393592
SRR5602284,0.7259804,0.2740196
C021,0.706036,0.29396406
SRR5602256,0.50679046,0.49320954
SRR5602234,0.72238106,0.27761894
SRR5602210,0.5686969,0.43130308
S010,0.13178287,0.8682171
S280,0.7229934,0.2770066
S260,0.6914719,0.30852816
S020,0.72971433,0.27028567
SRR5602016,0.7179832,0.28201684
S180,0.7287456,0.27125442
SRR5602145,0.3753269,0.6246731
