,root:Elder,root:Young
S320,0.029711077,0.970289
S290,0.057783253,0.9422167
SRR5602345,0.57067966,0.42932028
S330,0.5684479,0.43155214
SRR5602125,0.049289037,0.950711
SRR5602220,0.5713029,0.42869708
S050,0.044165675,0.95583427
S080,0.5697277,0.4302723
SRR5602155,0.571633,0.42836705
SRR5602193,0.5238892,0.47611085
SRR5602335,0.5686799,0.43132004
SRR5602119,0.39841428,0.6015857
S150,0.028752398,0.97124755
SRR5602179,0.4465596,0.5534404
SRR3679961,0.5488044,0.45119566
SRR5602134,0.57220984,0.42779014
S130,0.039413508,0.9605865
S200,0.5135585,0.4864415
S210,0.029021068,0.9709789
SRR5602290,0.03352466,0.96647537
SRR5602138,0.4515032,0.54849684
C052,0.5684967,0.43150333
C012,0.13832273,0.86167735
SRR5602168,0.030847616,0.9691524
SRR5602159,0.49227244,0.5077275
SRR5602160,0.5707951,0.4292049
SRR5602010,0.5686195,0.43138048
C010,0.03962013,0.9603799
S240,0.029127399,0.9708726
S030,0.5563958,0.44360417
SRR5602324,0.41983646,0.58016354
SRR3679980,0.0287195,0.9712805
SRR5602349,0.5259054,0.4740946
S110,0.23992081,0.7600792
SRR5602182,0.569305,0.43069494
S100,0.06497558,0.93502444
C042,0.5697243,0.43027565
SRR5602351,0.56868243,0.43131766
SRR5602333,0.03937783,0.96062213
S220,0.4970267,0.5029733
SRR5602092,0.4456883,0.55431175
S120,0.57189256,0.42810747
SRR5602260,0.5028,0.49720004
SRR5602284,0.5684958,0.4315042
C021,0.5125274,0.48747256
SRR5602256,0.543739,0.45626092
SRR5602234,0.4618761,0.5381239
SRR5602210,0.5599308,0.4400692
S010,0.07830803,0.92169195
S280,0.5691583,0.43084165
S260,0.5028,0.49720004
S020,0.45469305,0.545307
SRR5602016,0.552754,0.44724604
S180,0.56915784,0.43084216
SRR5602145,0.37851405,0.6214859
