,root:Elder,root:Young
SRR5602038,0.5209317,0.4790683
SRR3679963,0.14108378,0.8589162
SRR5601932,0.5240629,0.4759372
SRR5601929,0.25688308,0.74311686
SRR5602136,0.5231225,0.4768775
SRR5602147,0.5589663,0.44103375
SRR5602321,0.5680207,0.43197936
SRR5601967,0.041331477,0.9586685
SRR5602133,0.56911546,0.4308845
SRR5602060,0.54530036,0.45469964
SRR5602343,0.35398138,0.6460187
SRR3679946,0.051549666,0.9484503
SRR3680084,0.3690676,0.6309324
SRR5610010,0.5340635,0.4659365
SRR5602224,0.5150758,0.4849242
SRR5601990,0.562096,0.43790403
SRR5610012,0.56935817,0.4306418
SRR5602021,0.2761632,0.72383684
SRR5602098,0.24588718,0.75411284
SRR5602130,0.18340708,0.8165929
SRR5602011,0.16574393,0.83425605
SRR5602005,0.028621372,0.9713786
SRR5601993,0.28279066,0.71720934
SRR5602265,0.13647486,0.86352515
SRR5602185,0.27464828,0.72535175
SRR5602054,0.5537543,0.44624573
SRR5602124,0.41945046,0.58054954
SRR5602093,0.28347456,0.71652544
SRR3679940,0.35808483,0.6419152
K309,0.5702499,0.42975006
SRR5609970,0.56940734,0.43059266
SRR5602212,0.123227194,0.8767728
K124,0.030020243,0.96997976
SRR5602248,0.25832903,0.7416709
SRR5602166,0.5395676,0.4604324
SRR3680063,0.24908087,0.75091916
SRR3679971,0.2369983,0.76300174
SRR5602096,0.2865453,0.7134547
SRR5602194,0.028621372,0.9713786
SRR3680046,0.5697842,0.43021575
SRR3679945,0.26070747,0.7392925
SRR5601996,0.028621372,0.9713786
SRR5602231,0.5703096,0.42969045
SRR5602247,0.5254296,0.4745704
SRR5602142,0.56910264,0.43089738
SRR5602176,0.5685363,0.43146378
SRR5601924,0.32131904,0.67868096
SRR5601989,0.55587286,0.4441271
SRR5602258,0.029431656,0.97056836
SRR5602331,0.38651872,0.6134813
SRR5602157,0.53879535,0.46120462
SRR3679967,0.1693008,0.8306992
SRR5602305,0.2530992,0.7469008
SRR3680002,0.31394863,0.68605137
SRR5602100,0.5693663,0.43063366
