,SampleID,Env,Region,Contribution
SRR5601928,,Young,Jiangsu,0.48491582
SRR5601959,,Senior,Jiangsu,0.02862154
SRR5601959,,Young,Jiangsu,0.9713785
SRR5601967,,Senior,Jiangsu,0.036934525
SRR5601967,,Young,Jiangsu,0.96306545
SRR5601985,,Senior,Jiangsu,0.5491046
SRR5601985,,Young,Jiangsu,0.4508954
SRR5601993,,Senior,Jiangsu,0.549246
SRR5601993,,Young,Jiangsu,0.450754
SRR5602011,,Senior,Jiangsu,0.546273
SRR5602011,,Young,Jiangsu,0.453727
SRR5602015,,Senior,Jiangsu,0.54757077
SRR5602015,,Young,Jiangsu,0.45242923
SRR5602023,,Senior,Jiangsu,0.42876506
SRR5602023,,Young,Jiangsu,0.57123494
SRR5602030,,Senior,Jiangsu,0.5679218
SRR5602030,,Young,Jiangsu,0.43207818
SRR5602093,,Senior,Jiangsu,0.5378815
SRR5602093,,Young,Jiangsu,0.46211857
SRR5602096,,Senior,Jiangsu,0.54565907
SRR5602096,,Young,Jiangsu,0.45434096
SRR5602098,,Senior,Jiangsu,0.54598814
SRR5602098,,Young,Jiangsu,0.45401183
SRR5602099,,Senior,Jiangsu,0.5535145
SRR5602099,,Young,Jiangsu,0.44648558
SRR5602118,,Senior,Jiangsu,0.10312209
SRR5602118,,Young,Jiangsu,0.8968779
SRR5602123,,Senior,Jiangsu,0.55159533
SRR5602123,,Young,Jiangsu,0.44840464
SRR5602133,,Senior,Jiangsu,0.048756596
SRR5602133,,Young,Jiangsu,0.95124334
SRR5602142,,Senior,Jiangsu,0.44986147
SRR5602142,,Young,Jiangsu,0.55013853
SRR5602154,,Senior,Jiangsu,0.43873748
SRR5602154,,Young,Jiangsu,0.5612625
SRR5602157,,Senior,Jiangsu,0.3054069
SRR5602157,,Young,Jiangsu,0.69459313
SRR5602158,,Senior,Jiangsu,0.5217791
SRR5602158,,Young,Jiangsu,0.47822094
SRR5602166,,Senior,Jiangsu,0.44553944
SRR5602166,,Young,Jiangsu,0.55446047
SRR5602173,,Senior,Jiangsu,0.53174317
SRR5602173,,Young,Jiangsu,0.4682568
SRR5602177,,Senior,Jiangsu,0.4321694
SRR5602177,,Young,Jiangsu,0.5678306
SRR5602180,,Senior,Jiangsu,0.4411384
SRR5602180,,Young,Jiangsu,0.5588616
SRR5602184,,Senior,Jiangsu,0.35971633
SRR5602184,,Young,Jiangsu,0.64028364
SRR5602192,,Senior,Jiangsu,0.5238513
SRR5602192,,Young,Jiangsu,0.47614864
SRR5602217,,Senior,Jiangsu,0.3783207
SRR5602217,,Young,Jiangsu,0.62167937
SRR5602218,,Senior,Jiangsu,0.5303777
SRR5602218,,Young,Jiangsu,0.4696223
SRR5602230,,Senior,Jiangsu,0.46371475
SRR5602230,,Young,Jiangsu,0.5362853
SRR5602248,,Senior,Jiangsu,0.5094544
SRR5602248,,Young,Jiangsu,0.49054557
SRR5602250,,Senior,Jiangsu,0.40795627
SRR5602250,,Young,Jiangsu,0.59204376
SRR5602264,,Senior,Jiangsu,0.45458186
SRR5602264,,Young,Jiangsu,0.5454182
SRR5602270,,Senior,Jiangsu,0.5252566
SRR5602270,,Young,Jiangsu,0.47474343
SRR5602280,,Senior,Jiangsu,0.034358192
SRR5602280,,Young,Jiangsu,0.96564186
SRR5602281,,Senior,Jiangsu,0.39137653
SRR5602281,,Young,Jiangsu,0.60862345
SRR5602286,,Senior,Jiangsu,0.49593943
SRR5602286,,Young,Jiangsu,0.50406057
SRR5602299,,Senior,Jiangsu,0.51629597
SRR5602299,,Young,Jiangsu,0.48370403
SRR5602304,,Senior,Jiangsu,0.043811515
SRR5602304,,Young,Jiangsu,0.9561885
SRR5602305,,Senior,Jiangsu,0.55227363
SRR5602305,,Young,Jiangsu,0.44772637
SRR5602323,,Senior,Jiangsu,0.37551534
SRR5602323,,Young,Jiangsu,0.62448466
SRR5602332,,Senior,Jiangsu,0.119073845
SRR5602332,,Young,Jiangsu,0.8809262
SRR5602341,,Senior,Jiangsu,0.5014091
SRR5602341,,Young,Jiangsu,0.49859083
SRR5610085,,Senior,Jiangsu,0.12227512
SRR5610085,,Young,Jiangsu,0.8777249
C003,,Senior,Italy,0.43454736
C003,,Young,Italy,0.5654526
SRR3679929,,Senior,Sichuan,0.25301525
SRR3679929,,Young,Sichuan,0.7469847
SRR3679946,,Senior,Sichuan,0.16930234
SRR3679946,,Young,Sichuan,0.8306977
SRR3679974,,Senior,Sichuan,0.5728513
SRR3679974,,Young,Sichuan,0.4271487
SRR3679979,,Senior,Sichuan,0.57383394
SRR3679979,,Young,Sichuan,0.4261661
SRR3679983,,Senior,Sichuan,0.57376534
SRR3679983,,Young,Sichuan,0.4262346
SRR3679988,,Senior,Sichuan,0.5738412
SRR3679988,,Young,Sichuan,0.42615885
SRR3679990,,Senior,Sichuan,0.30085036
SRR3679990,,Young,Sichuan,0.6991496
SRR3680044,,Senior,Sichuan,0.57388556
SRR3680044,,Young,Sichuan,0.42611444
SRR3680053,,Senior,Sichuan,0.5737055
SRR3680053,,Young,Sichuan,0.42629445
SRR3680080,,Senior,Sichuan,0.5737912
SRR3680080,,Young,Sichuan,0.42620876
SRR5601924,,Senior,Jiangsu,0.2363422
SRR5601924,,Young,Jiangsu,0.76365775
SRR5601932,,Senior,Jiangsu,0.5739678
SRR5601932,,Young,Jiangsu,0.4260322
SRR5601986,,Senior,Jiangsu,0.57388556
SRR5601986,,Young,Jiangsu,0.42611444
SRR5601996,,Senior,Jiangsu,0.57388556
SRR5601996,,Young,Jiangsu,0.42611444
SRR5602008,,Senior,Jiangsu,0.57263845
SRR5602008,,Young,Jiangsu,0.4273615
SRR5602020,,Senior,Jiangsu,0.5732847
SRR5602020,,Young,Jiangsu,0.42671522
SRR5602025,,Senior,Jiangsu,0.3763955
SRR5602025,,Young,Jiangsu,0.6236045
SRR5602026,,Senior,Jiangsu,0.16419825
SRR5602026,,Young,Jiangsu,0.8358018
SRR5602060,,Senior,Jiangsu,0.57269186
SRR5602060,,Young,Jiangsu,0.4273081
SRR5602066,,Senior,Jiangsu,0.24079761
SRR5602066,,Young,Jiangsu,0.7592024
SRR5602093,,Senior,Jiangsu,0.49093813
SRR5602093,,Young,Jiangsu,0.5090619
SRR5602096,,Senior,Jiangsu,0.57388556
SRR5602096,,Young,Jiangsu,0.42611444
SRR5602130,,Senior,Jiangsu,0.32069433
SRR5602130,,Young,Jiangsu,0.6793056
SRR5602135,,Senior,Jiangsu,0.27805492
SRR5602135,,Young,Jiangsu,0.7219451
SRR5602139,,Senior,Jiangsu,0.5736309
SRR5602139,,Young,Jiangsu,0.42636904
SRR5602140,,Senior,Jiangsu,0.42630902
SRR5602140,,Young,Jiangsu,0.57369095
SRR5602141,,Senior,Jiangsu,0.53758305
SRR5602141,,Young,Jiangsu,0.46241698
SRR5602142,,Senior,Jiangsu,0.5738402
SRR5602142,,Young,Jiangsu,0.42615986
SRR5602147,,Senior,Jiangsu,0.57381
SRR5602147,,Young,Jiangsu,0.42619002
SRR5602158,,Senior,Jiangsu,0.35861617
SRR5602158,,Young,Jiangsu,0.6413838
SRR5602169,,Senior,Jiangsu,0.57388556
SRR5602169,,Young,Jiangsu,0.42611444
SRR5602170,,Senior,Jiangsu,0.5738678
SRR5602170,,Young,Jiangsu,0.42613223
SRR5602185,,Senior,Jiangsu,0.57370275
SRR5602185,,Young,Jiangsu,0.42629728
SRR5602196,,Senior,Jiangsu,0.5738566
SRR5602196,,Young,Jiangsu,0.4261434
SRR5602197,,Senior,Jiangsu,0.27135435
SRR5602197,,Young,Jiangsu,0.7286456
SRR5602201,,Senior,Jiangsu,0.5733981
SRR5602201,,Young,Jiangsu,0.42660186
SRR5602218,,Senior,Jiangsu,0.5764153
SRR5602218,,Young,Jiangsu,0.42358464
SRR5602223,,Senior,Jiangsu,0.45568484
SRR5602223,,Young,Jiangsu,0.54431516
SRR5602226,,Senior,Jiangsu,0.5738709
SRR5602226,,Young,Jiangsu,0.42612907
SRR5602249,,Senior,Jiangsu,0.57388556
SRR5602249,,Young,Jiangsu,0.42611444
SRR5602252,,Senior,Jiangsu,0.51062316
SRR5602252,,Young,Jiangsu,0.4893768
SRR5602263,,Senior,Jiangsu,0.5752408
