,SampleID,Env,Region,Contribution
SRR5601928,,Young,Jiangsu,0.3683052
SRR5601959,,Senior,Jiangsu,0.10380279
SRR5601959,,Young,Jiangsu,0.89619714
SRR5601967,,Senior,Jiangsu,0.15847564
SRR5601967,,Young,Jiangsu,0.8415244
SRR5601985,,Senior,Jiangsu,0.23191369
SRR5601985,,Young,Jiangsu,0.7680863
SRR5601993,,Senior,Jiangsu,0.27516943
SRR5601993,,Young,Jiangsu,0.7248305
SRR5602011,,Senior,Jiangsu,0.4852584
SRR5602011,,Young,Jiangsu,0.5147416
SRR5602015,,Senior,Jiangsu,0.62909096
SRR5602015,,Young,Jiangsu,0.370909
SRR5602023,,Senior,Jiangsu,0.62107724
SRR5602023,,Young,Jiangsu,0.3789228
SRR5602030,,Senior,Jiangsu,0.62931776
SRR5602030,,Young,Jiangsu,0.37068227
SRR5602093,,Senior,Jiangsu,0.53579694
SRR5602093,,Young,Jiangsu,0.46420312
SRR5602096,,Senior,Jiangsu,0.29575586
SRR5602096,,Young,Jiangsu,0.70424414
SRR5602098,,Senior,Jiangsu,0.35396323
SRR5602098,,Young,Jiangsu,0.6460368
SRR5602099,,Senior,Jiangsu,0.6365545
SRR5602099,,Young,Jiangsu,0.3634455
SRR5602118,,Senior,Jiangsu,0.120252505
SRR5602118,,Young,Jiangsu,0.8797475
SRR5602123,,Senior,Jiangsu,0.6381438
SRR5602123,,Young,Jiangsu,0.36185625
SRR5602133,,Senior,Jiangsu,0.63927966
SRR5602133,,Young,Jiangsu,0.36072034
SRR5602142,,Senior,Jiangsu,0.63833153
SRR5602142,,Young,Jiangsu,0.36166847
SRR5602154,,Senior,Jiangsu,0.6157778
SRR5602154,,Young,Jiangsu,0.38422218
SRR5602157,,Senior,Jiangsu,0.63224834
SRR5602157,,Young,Jiangsu,0.36775166
SRR5602158,,Senior,Jiangsu,0.4928339
SRR5602158,,Young,Jiangsu,0.50716615
SRR5602166,,Senior,Jiangsu,0.5895325
SRR5602166,,Young,Jiangsu,0.41046742
SRR5602173,,Senior,Jiangsu,0.55327827
SRR5602173,,Young,Jiangsu,0.44672173
SRR5602177,,Senior,Jiangsu,0.62932444
SRR5602177,,Young,Jiangsu,0.3706755
SRR5602180,,Senior,Jiangsu,0.6340766
SRR5602180,,Young,Jiangsu,0.36592343
SRR5602184,,Senior,Jiangsu,0.2116693
SRR5602184,,Young,Jiangsu,0.7883307
SRR5602192,,Senior,Jiangsu,0.350153
SRR5602192,,Young,Jiangsu,0.649847
SRR5602217,,Senior,Jiangsu,0.53898185
SRR5602217,,Young,Jiangsu,0.46101815
SRR5602218,,Senior,Jiangsu,0.56595045
SRR5602218,,Young,Jiangsu,0.43404958
SRR5602230,,Senior,Jiangsu,0.63867235
SRR5602230,,Young,Jiangsu,0.36132768
SRR5602248,,Senior,Jiangsu,0.20453292
SRR5602248,,Young,Jiangsu,0.79546714
SRR5602250,,Senior,Jiangsu,0.6341834
SRR5602250,,Young,Jiangsu,0.3658166
SRR5602264,,Senior,Jiangsu,0.63247544
SRR5602264,,Young,Jiangsu,0.3675245
SRR5602270,,Senior,Jiangsu,0.33287445
SRR5602270,,Young,Jiangsu,0.66712546
SRR5602280,,Senior,Jiangsu,0.108352035
SRR5602280,,Young,Jiangsu,0.89164793
SRR5602281,,Senior,Jiangsu,0.54518765
SRR5602281,,Young,Jiangsu,0.45481235
SRR5602286,,Senior,Jiangsu,0.6387603
SRR5602286,,Young,Jiangsu,0.36123973
SRR5602299,,Senior,Jiangsu,0.23618212
SRR5602299,,Young,Jiangsu,0.76381785
SRR5602304,,Senior,Jiangsu,0.62932444
SRR5602304,,Young,Jiangsu,0.3706755
SRR5602305,,Senior,Jiangsu,0.18089756
SRR5602305,,Young,Jiangsu,0.8191024
SRR5602323,,Senior,Jiangsu,0.6362013
SRR5602323,,Young,Jiangsu,0.36379868
SRR5602332,,Senior,Jiangsu,0.5314832
SRR5602332,,Young,Jiangsu,0.46851686
SRR5602341,,Senior,Jiangsu,0.62932444
SRR5602341,,Young,Jiangsu,0.3706755
SRR5610085,,Senior,Jiangsu,0.15147686
SRR5610085,,Young,Jiangsu,0.8485231
C003,,Senior,Italy,0.24261734
C003,,Young,Italy,0.75738263
SRR3679929,,Senior,Sichuan,0.16562368
SRR3679929,,Young,Sichuan,0.83437634
SRR3679946,,Senior,Sichuan,0.31240588
SRR3679946,,Young,Sichuan,0.6875941
SRR3679974,,Senior,Sichuan,0.7461288
SRR3679974,,Young,Sichuan,0.25387126
SRR3679979,,Senior,Sichuan,0.76919794
SRR3679979,,Young,Sichuan,0.23080212
SRR3679983,,Senior,Sichuan,0.7686159
SRR3679983,,Young,Sichuan,0.23138404
SRR3679988,,Senior,Sichuan,0.76610893
SRR3679988,,Young,Sichuan,0.23389103
SRR3679990,,Senior,Sichuan,0.7533037
SRR3679990,,Young,Sichuan,0.24669631
SRR3680044,,Senior,Sichuan,0.76955414
SRR3680044,,Young,Sichuan,0.23044589
SRR3680053,,Senior,Sichuan,0.52760494
SRR3680053,,Young,Sichuan,0.47239512
SRR3680080,,Senior,Sichuan,0.7688016
SRR3680080,,Young,Sichuan,0.23119836
SRR5601924,,Senior,Jiangsu,0.39248535
SRR5601924,,Young,Jiangsu,0.6075147
SRR5601932,,Senior,Jiangsu,0.7694894
SRR5601932,,Young,Jiangsu,0.23051062
SRR5601986,,Senior,Jiangsu,0.76955414
SRR5601986,,Young,Jiangsu,0.23044589
SRR5601996,,Senior,Jiangsu,0.76955414
SRR5601996,,Young,Jiangsu,0.23044589
SRR5602008,,Senior,Jiangsu,0.7644897
SRR5602008,,Young,Jiangsu,0.23551033
SRR5602020,,Senior,Jiangsu,0.76955414
SRR5602020,,Young,Jiangsu,0.23044589
SRR5602025,,Senior,Jiangsu,0.7132188
SRR5602025,,Young,Jiangsu,0.2867812
SRR5602026,,Senior,Jiangsu,0.25968283
SRR5602026,,Young,Jiangsu,0.74031717
SRR5602060,,Senior,Jiangsu,0.76906943
SRR5602060,,Young,Jiangsu,0.2309305
SRR5602066,,Senior,Jiangsu,0.6032175
SRR5602066,,Young,Jiangsu,0.3967825
SRR5602093,,Senior,Jiangsu,0.70595044
SRR5602093,,Young,Jiangsu,0.29404956
SRR5602096,,Senior,Jiangsu,0.15077513
SRR5602096,,Young,Jiangsu,0.8492249
SRR5602130,,Senior,Jiangsu,0.17469962
SRR5602130,,Young,Jiangsu,0.8253004
SRR5602135,,Senior,Jiangsu,0.15775974
SRR5602135,,Young,Jiangsu,0.8422402
SRR5602139,,Senior,Jiangsu,0.769397
SRR5602139,,Young,Jiangsu,0.23060293
SRR5602140,,Senior,Jiangsu,0.44542626
SRR5602140,,Young,Jiangsu,0.5545738
SRR5602141,,Senior,Jiangsu,0.15077513
SRR5602141,,Young,Jiangsu,0.8492249
SRR5602142,,Senior,Jiangsu,0.7691133
SRR5602142,,Young,Jiangsu,0.23088665
SRR5602147,,Senior,Jiangsu,0.7640309
SRR5602147,,Young,Jiangsu,0.2359692
SRR5602158,,Senior,Jiangsu,0.74092394
SRR5602158,,Young,Jiangsu,0.25907612
SRR5602169,,Senior,Jiangsu,0.76955414
SRR5602169,,Young,Jiangsu,0.23044589
SRR5602170,,Senior,Jiangsu,0.7689598
SRR5602170,,Young,Jiangsu,0.23104016
SRR5602185,,Senior,Jiangsu,0.769096
SRR5602185,,Young,Jiangsu,0.230904
SRR5602196,,Senior,Jiangsu,0.7646071
SRR5602196,,Young,Jiangsu,0.23539299
SRR5602197,,Senior,Jiangsu,0.4967131
SRR5602197,,Young,Jiangsu,0.50328684
SRR5602201,,Senior,Jiangsu,0.7593884
SRR5602201,,Young,Jiangsu,0.2406116
SRR5602218,,Senior,Jiangsu,0.1584311
SRR5602218,,Young,Jiangsu,0.8415689
SRR5602223,,Senior,Jiangsu,0.15824659
SRR5602223,,Young,Jiangsu,0.8417534
SRR5602226,,Senior,Jiangsu,0.7684745
SRR5602226,,Young,Jiangsu,0.23152545
SRR5602249,,Senior,Jiangsu,0.76955414
SRR5602249,,Young,Jiangsu,0.23044589
SRR5602252,,Senior,Jiangsu,0.76870763
SRR5602252,,Young,Jiangsu,0.23129243
SRR5602263,,Senior,Jiangsu,0.2891277
SRR5602263,,Young,Jiangsu,0.7108723
SRR5602264,,Senior,Jiangsu,0.7604596
SRR5602264,,Young,Jiangsu,0.23954035
SRR5602267,,Senior,Jiangsu,0.6679827
SRR5602267,,Young,Jiangsu,0.33201736
SRR5602279,,Senior,Jiangsu,0.15077513
SRR5602279,,Young,Jiangsu,0.8492249
SRR5602316,,Senior,Jiangsu,0.57208407
SRR5602316,,Young,Jiangsu,0.42791596
SRR5602321,,Senior,Jiangsu,0.76951647
SRR5602321,,Young,Jiangsu,0.23048355
SRR5602339,,Senior,Jiangsu,0.76269245
SRR5602339,,Young,Jiangsu,0.23730753
SRR5602340,,Senior,Jiangsu,0.76955414
SRR5602340,,Young,Jiangsu,0.23044589
SRR5602341,,Senior,Jiangsu,0.76955414
SRR5602341,,Young,Jiangsu,0.23044589
SRR5602343,,Senior,Jiangsu,0.15303047
