,root:Elder,root:Young
S320,0.031872604,0.96812737
S290,0.06441882,0.9355812
SRR5602345,0.56921536,0.43078464
S330,0.5690575,0.43094245
SRR5602125,0.03727366,0.9627263
SRR5602220,0.54375255,0.45624742
S050,0.06314276,0.93685716
S080,0.028620955,0.97137904
SRR5602155,0.56879675,0.43120322
SRR5602193,0.46770775,0.5322923
SRR5602335,0.5375916,0.46240842
SRR5602119,0.35855073,0.6414493
S150,0.029206488,0.9707935
SRR5602179,0.50916517,0.4908348
SRR3679961,0.5336287,0.46637127
SRR5602134,0.5680879,0.43191218
S130,0.06344283,0.9365572
S200,0.48654324,0.51345676
S210,0.030203175,0.96979684
SRR5602290,0.060767516,0.9392324
SRR5602138,0.33654517,0.6634549
C052,0.56988966,0.43011037
C012,0.15711953,0.8428805
SRR5602168,0.04146969,0.95853037
SRR5602159,0.35146955,0.6485305
SRR5602160,0.55490136,0.4450987
SRR5602010,0.56743884,0.43256113
C010,0.047169376,0.95283055
S240,0.030322371,0.96967757
S030,0.4810276,0.5189724
SRR5602324,0.32736126,0.6726388
SRR3679980,0.028620955,0.97137904
SRR5602349,0.502324,0.49767599
S110,0.09604432,0.90395564
SRR5602182,0.56646407,0.43353593
S100,0.13544889,0.8645511
C042,0.43613747,0.5638625
SRR5602351,0.5674672,0.43253273
SRR5602333,0.045972813,0.9540271
S220,0.5061815,0.49381846
SRR5602092,0.37202504,0.6279749
S120,0.55892885,0.4410711
SRR5602260,0.5151872,0.48481274
SRR5602284,0.5675131,0.43248683
C021,0.43148378,0.5685162
SRR5602256,0.4430664,0.5569336
SRR5602234,0.39208072,0.60791934
SRR5602210,0.545157,0.45484295
S010,0.062270038,0.93773
S280,0.5698072,0.43019283
S260,0.12404626,0.87595373
S020,0.4784689,0.5215311
SRR5602016,0.5263226,0.47367734
S180,0.56658626,0.43341374
SRR5602145,0.11230855,0.88769144
