,root:Elder,root:Young
S320,0.65748006,0.34251994
S290,0.37225214,0.6277479
SRR5602345,0.6572935,0.34270653
S330,0.6520228,0.34797725
SRR5602125,0.11519975,0.88480026
SRR5602220,0.67144954,0.32855043
S050,0.13657537,0.8634246
S080,0.6575495,0.34245053
SRR5602155,0.67069256,0.3293074
SRR5602193,0.45939967,0.5406003
SRR5602335,0.61572033,0.38427967
SRR5602119,0.62654966,0.37345034
S150,0.6509779,0.3490221
SRR5602179,0.11510352,0.88489646
SRR3679961,0.107994445,0.8920055
SRR5602134,0.6701454,0.3298546
S130,0.64488405,0.3551159
S200,0.66079277,0.33920723
S210,0.034287877,0.96571213
SRR5602290,0.65738785,0.3426122
SRR5602138,0.6079634,0.3920366
C052,0.65736026,0.3426397
C012,0.11557259,0.88442737
SRR5602168,0.12000317,0.8799969
SRR5602159,0.6508463,0.34915376
SRR5602160,0.67112374,0.32887623
SRR5602010,0.6667364,0.33326355
C010,0.5144043,0.48559573
S240,0.2597509,0.7402491
S030,0.6575489,0.34245113
SRR5602324,0.6049128,0.39508715
SRR3679980,0.6575495,0.34245053
SRR5602349,0.29172733,0.7082727
S110,0.11509975,0.8849002
SRR5602182,0.67007375,0.32992622
S100,0.41576475,0.58423525
C042,0.14702542,0.85297465
SRR5602351,0.6707397,0.32926032
SRR5602333,0.6194913,0.38050875
S220,0.13230357,0.86769646
SRR5602092,0.6554108,0.34458914
S120,0.6663731,0.3336269
SRR5602260,0.6575431,0.34245685
SRR5602284,0.660956,0.339044
C021,0.6575495,0.34245053
SRR5602256,0.60326564,0.3967344
SRR5602234,0.60008144,0.39991862
SRR5602210,0.55839634,0.44160372
S010,0.11489471,0.88510525
S280,0.65728396,0.34271607
S260,0.34049517,0.6595048
S020,0.6565096,0.34349045
SRR5602016,0.66041005,0.33958998
S180,0.67146254,0.32853752
SRR5602145,0.16483693,0.8351631
