,root:Elder,root:Young
S320,0.0413364,0.9586635
S290,0.07879559,0.9212044
SRR5602345,0.5762055,0.42379454
S330,0.5762138,0.42378616
SRR5602125,0.07928168,0.92071825
SRR5602220,0.5760556,0.42394438
S050,0.18581735,0.8141827
S080,0.57621384,0.42378616
SRR5602155,0.57619023,0.42380974
SRR5602193,0.5137303,0.48626968
SRR5602335,0.5750766,0.4249234
SRR5602119,0.3915204,0.6084796
S150,0.029421056,0.97057897
SRR5602179,0.5474033,0.45259675
SRR3679961,0.5755409,0.42445913
SRR5602134,0.57618093,0.4238191
S130,0.28816655,0.7118334
S200,0.57513636,0.42486367
S210,0.02982722,0.9701728
SRR5602290,0.31378955,0.6862104
SRR5602138,0.24404472,0.7559553
C052,0.5762137,0.42378628
C012,0.57504714,0.4249528
SRR5602168,0.051003557,0.94899637
SRR5602159,0.14543597,0.854564
SRR5602160,0.5759348,0.4240652
SRR5602010,0.5762138,0.4237862
C010,0.20996954,0.7900304
S240,0.034861863,0.96513814
S030,0.5762114,0.42378864
SRR5602324,0.27500156,0.7249985
SRR3679980,0.57621384,0.42378616
SRR5602349,0.5804372,0.41956276
S110,0.57617706,0.42382297
SRR5602182,0.57621384,0.42378616
S100,0.09807156,0.9019284
C042,0.5756274,0.4243726
SRR5602351,0.5762138,0.42378616
SRR5602333,0.054727815,0.94527215
S220,0.58149743,0.41850257
SRR5602092,0.2964838,0.7035162
S120,0.57611805,0.423882
SRR5602260,0.57611614,0.4238839
SRR5602284,0.57621366,0.4237863
C021,0.4327464,0.5672536
SRR5602256,0.575297,0.42470297
SRR5602234,0.22266021,0.7773398
SRR5602210,0.57520616,0.42479378
S010,0.5757026,0.4242973
S280,0.5762134,0.42378664
S260,0.5761802,0.42381972
S020,0.513135,0.48686495
SRR5602016,0.5789198,0.42108017
S180,0.57621384,0.42378616
SRR5602145,0.38898432,0.61101574
