,root:Elder,root:Young
K106,0.51217467,0.48782533
SRR5602329,0.5386548,0.46134514
SRR5602278,0.031790037,0.96821
SRR3679963,0.1312066,0.8687934
SRR5601932,0.5256162,0.47438374
SRR5602076,0.033225797,0.9667742
SRR5601994,0.17886196,0.821138
SRR3680034,0.15099572,0.84900427
SRR5602133,0.5014091,0.4985908
SRR5602202,0.5210612,0.47893876
SRR5602342,0.55973685,0.44026315
SRR5602261,0.1891176,0.81088233
SRR5602178,0.0360145,0.96398556
SRR5602198,0.56876487,0.43123516
SRR5602167,0.5298651,0.4701349
SRR5602137,0.46257052,0.53742945
SRR5602197,0.14131352,0.8586865
SRR5602287,0.13430004,0.86569995
SRR5602030,0.5582986,0.44170147
SRR5610011,0.28590044,0.7140995
SRR5602116,0.028620312,0.9713797
SRR5602057,0.27435073,0.7256493
SRR5602131,0.22868536,0.7713146
SRR5602294,0.55326706,0.44673294
SRR5602250,0.5059615,0.4940385
SRR3679974,0.5545013,0.44549865
SRR5610014,0.5683908,0.43160924
C011,0.38817018,0.6118298
SRR5602304,0.028620414,0.97137964
SRR5602317,0.037530087,0.96246994
SRR5602191,0.11374542,0.8862546
K108,0.21967472,0.78032523
SRR3680011,0.5695106,0.4304895
SRR5602034,0.24081346,0.7591865
SRR3680093,0.28858045,0.7114195
SRR3679962,0.028620312,0.9713797
SRR5602093,0.1891241,0.81087595
SRR5602153,0.4179644,0.58203554
SRR3679979,0.56702745,0.43297255
SRR5601928,0.54777646,0.4522236
SRR3679973,0.028620312,0.9713797
SRR5602115,0.21858133,0.7814186
SRR3679996,0.56366456,0.43633544
SRR3680067,0.27961728,0.7203827
SRR5601927,0.14994235,0.85005766
SRR5601933,0.05047221,0.9495278
SRR5802183,0.04765119,0.95234877
SRR5602312,0.5583483,0.44165173
SRR3680049,0.028620312,0.9713797
SRR5602189,0.56496656,0.43503344
SRR5602257,0.2990321,0.7009679
SRR5602279,0.029023273,0.97097677
SRR3680028,0.52691525,0.4730847
SRR5602264,0.5474865,0.45251352
SRR5602253,0.259288,0.740712
