,mean,std
3955,2.317896132808528e-07,1.0722633305704221e-06
3956,5.642522005189221e-10,1.3798093334571604e-08
3957,0.022549185901880264,0.05223629251122475
3958,0.0021071999799460173,0.0036986449267715216
3959,0.0,0.0
3960,0.022549185901880264,0.05223629251122475
3961,1.916807605084614e-06,1.7160142306238413e-05
3962,0.0,0.0
3963,0.022549185901880264,0.05223629251122475
3964,1.916807605084614e-06,1.7160142306238413e-05
3965,0.0,0.0
3966,0.022549185901880264,0.05223629251122475
3967,6.670193215541076e-07,6.244506494113011e-06
3968,0.0,0.0
3969,0.022549185901880264,0.05223629251122475
3970,0.0,0.0
3971,0.0,0.0
3972,0.022549185901880264,0.05223629251122475
3973,0.0,0.0
3974,0.0,0.0
3975,0.022549185901880264,0.05223629251122475
3976,4.327898295741761e-06,1.2595798580150586e-05
3977,4.327898295741761e-06,1.2595798580150586e-05
3978,0.022549185901880264,0.05223629251122475
3979,4.327898295741761e-06,1.2595798580150586e-05
3980,0.0,0.0
3981,0.022549185901880264,0.05223629251122475
3982,4.327898295741761e-06,1.2595798580150586e-05
3983,0.0,0.0
3984,0.022549185901880264,0.05223629251122475
3985,0.0,0.0
3986,0.0,0.0
3987,0.022549185901880264,0.05223629251122475
3988,0.0,0.0
3989,0.0,0.0
3990,0.022549185901880264,0.05223629251122475
3991,0.01675563119351864,0.048350367695093155
3992,0.0,0.0
3993,0.022549185901880264,0.05223629251122475
3994,0.01675563119351864,0.048350367695093155
3995,0.0,0.0
3996,0.022549185901880264,0.05223629251122475
3997,0.0032121737021952868,0.015216250903904438
3998,9.707699973660056e-06,0.00011049466411350295
3999,0.022549185901880264,0.05223629251122475
4000,0.0,0.0
4001,0.0,0.0
4002,0.022549185901880264,0.05223629251122475
4003,0.0,0.0
4004,0.0,0.0
4005,0.022549185901880264,0.05223629251122475
4006,1.495254196015594e-06,6.257027507672319e-06
4007,1.4815050235483795e-06,6.258618668653071e-06
4008,0.0006256343331187963,0.0033965979237109423
4009,0.0,0.0
4010,0.0,0.0
4011,0.027619076892733574,0.053601328283548355
4012,0.0,0.0
4013,0.0,0.0
4014,0.027619076892733574,0.053601328283548355
4015,0.0,0.0
4016,0.0,0.0
4017,0.027619076892733574,0.053601328283548355
4018,0.0,0.0
4019,0.0,0.0
4020,0.027619076892733574,0.053601328283548355
4021,0.0,0.0
4022,0.0,0.0
4023,0.7750439047813416,0.22826722264289856
4024,0.0,0.0
4025,0.0,0.0
4026,0.7750439047813416,0.22826722264289856
4027,0.0,0.0
4028,0.0,0.0
4029,0.7750439047813416,0.22826722264289856
4030,0.0,0.0
4031,0.0,0.0
4032,0.7750439047813416,0.22826722264289856
4033,7.828728030290222e-07,2.57194528785476e-06
4034,0.0,0.0
4035,0.7750439047813416,0.22826722264289856
4036,7.828728030290222e-07,2.57194528785476e-06
4037,0.0,0.0
4038,0.7750439047813416,0.22826722264289856
4039,7.828728030290222e-07,2.57194528785476e-06
4040,0.0,0.0
4041,0.7750439047813416,0.22826722264289856
4042,0.0,0.0
4043,0.0,0.0
4044,0.7750439047813416,0.22826722264289856
4045,0.0,0.0
4046,0.0,0.0
