,root:Elder,root:Young
SRR3680059,0.5216397,0.4783603
SRR3679963,0.46431726,0.53568274
SRR3680042,0.5446109,0.45538908
SRR5601995,0.36459357,0.63540643
SRR5602147,0.25483382,0.7451662
SRR5602306,0.5198304,0.48016965
SRR5602140,0.4526721,0.5473279
SRR3680055,0.037798118,0.9622019
SRR5601994,0.5045621,0.4954379
SRR5601967,0.03589877,0.9641012
SRR3680034,0.4793962,0.52060384
SRR5602173,0.53195566,0.46804434
SRR5602202,0.5254647,0.47453526
SRR5602343,0.5124704,0.48752964
SRR5602302,0.5115626,0.4884374
SRR5602255,0.3646388,0.6353612
SRR5602021,0.5112883,0.48871166
C024,0.03220612,0.9677939
SRR5602184,0.18777172,0.8122283
SRR5602097,0.03831435,0.96168566
SRR5602287,0.07347357,0.9265264
SRR5601993,0.5178189,0.48218107
SRR5610011,0.4318337,0.56816626
SRR5602199,0.16090007,0.83909994
SRR5602293,0.1108226,0.8891774
SRR5602154,0.559266,0.44073397
SRR5602031,0.5274766,0.47252345
SRR5602023,0.57043153,0.42956847
SRR3679930,0.47395808,0.526042
SRR5602191,0.4942389,0.50576115
SRR5602292,0.51915795,0.48084208
SRR3680093,0.2954505,0.7045495
SRR5602245,0.048161224,0.95183873
SRR3679940,0.47812626,0.5218738
SRR5602022,0.5201459,0.47985408
SRR5602118,0.079613,0.920387
SRR3680044,0.46107125,0.53892875
SRR3680074,0.5194877,0.4805123
SRR3679979,0.5691883,0.43081173
SRR5602232,0.44837865,0.5516214
SRR5602223,0.33232662,0.6676734
SRR5601933,0.054881107,0.9451189
SRR5602096,0.5168023,0.48319772
SRR3680046,0.4854999,0.51450014
SRR5602027,0.5176754,0.4823246
SRR5602218,0.5267613,0.47323868
SRR3680070,0.5190254,0.4809746
SRR3679975,0.5679115,0.43208846
SRR5602157,0.5604306,0.4395694
SRR3680007,0.43353876,0.56646127
SRR3680048,0.47660834,0.52339166
SRR5602332,0.567127,0.43287298
SRR5602264,0.55733967,0.44266033
SRR5602025,0.50848156,0.49151847
SRR5602100,0.5668615,0.4331385
