,root:Elder,root:Young
S320,0.033927333,0.9660727
S290,0.060221605,0.93977845
SRR5602345,0.5014091,0.49859083
S330,0.046246998,0.95375305
SRR5602125,0.032031354,0.96796864
SRR5602220,0.18904786,0.8109521
S050,0.073002204,0.9269978
S080,0.028621618,0.9713784
SRR5602155,0.5537964,0.44620365
SRR5602193,0.44199738,0.5580026
SRR5602335,0.52939814,0.4706019
SRR5602119,0.33118507,0.668815
S150,0.03081236,0.9691877
SRR5602179,0.5068827,0.4931172
SRR3679961,0.5219849,0.47801512
SRR5602134,0.54481745,0.45518246
S130,0.20605232,0.79394764
S200,0.3145854,0.6854146
S210,0.031931695,0.9680683
SRR5602290,0.035594035,0.964406
SRR5602138,0.30876467,0.6912353
C052,0.17471385,0.82528615
C012,0.09759979,0.90240026
SRR5602168,0.051274553,0.94872546
SRR5602159,0.31434837,0.68565166
SRR5602160,0.5317543,0.4682457
SRR5602010,0.57038474,0.42961526
C010,0.081182964,0.918817
S240,0.030268174,0.9697318
S030,0.06233051,0.9376695
SRR5602324,0.30628118,0.69371885
SRR3679980,0.028621618,0.9713784
SRR5602349,0.431034,0.56896603
S110,0.26194978,0.7380502
SRR5602182,0.56625646,0.43374357
S100,0.07298812,0.92701185
C042,0.46205255,0.5379474
SRR5602351,0.57029295,0.42970702
SRR5602333,0.043662753,0.9563373
S220,0.5035184,0.49648154
SRR5602092,0.3435483,0.6564517
S120,0.5140464,0.4859536
SRR5602260,0.31633005,0.6836699
SRR5602284,0.56451714,0.4354829
C021,0.5014091,0.49859083
SRR5602256,0.16479804,0.8352019
SRR5602234,0.34897825,0.6510218
SRR5602210,0.41374296,0.58625704
S010,0.04359972,0.9564003
S280,0.56034744,0.43965256
S260,0.06592301,0.93407696
S020,0.5049208,0.4950793
SRR5602016,0.52954787,0.47045216
S180,0.5672673,0.43273267
SRR5602145,0.17375198,0.82624805
