,root:Elder,root:Young
S320,0.669714,0.33028606
S290,0.5876495,0.4123505
SRR5602345,0.6812788,0.31872118
S330,0.12593456,0.87406546
SRR5602125,0.68144315,0.31855687
SRR5602220,0.68923026,0.31076968
S050,0.12223493,0.8777651
S080,0.12203743,0.8779625
SRR5602155,0.69397604,0.306024
SRR5602193,0.17905632,0.8209437
SRR5602335,0.6729748,0.32702515
SRR5602119,0.54964536,0.4503546
S150,0.12204214,0.8779578
SRR5602179,0.67069227,0.32930768
SRR3679961,0.68025774,0.31974223
SRR5602134,0.6936316,0.30636838
S130,0.15276879,0.8472312
S200,0.68100613,0.31899387
S210,0.230142,0.76985794
SRR5602290,0.12190306,0.878097
SRR5602138,0.37123945,0.62876046
C052,0.67948467,0.32051528
C012,0.6811977,0.31880227
SRR5602168,0.122048855,0.87795115
SRR5602159,0.6526716,0.34732845
SRR5602160,0.6750617,0.3249384
SRR5602010,0.6787734,0.3212266
C010,0.62439424,0.37560576
S240,0.5152612,0.48473883
S030,0.117705494,0.8822945
SRR5602324,0.6069918,0.3930082
SRR3679980,0.68145245,0.31854758
SRR5602349,0.28955826,0.7104417
S110,0.12168176,0.8783183
SRR5602182,0.6936708,0.30632925
S100,0.64711016,0.3528899
C042,0.67471886,0.32528114
SRR5602351,0.69396883,0.30603117
SRR5602333,0.6551144,0.34488556
S220,0.6531599,0.34684008
SRR5602092,0.67213565,0.32786432
S120,0.6600941,0.33990595
SRR5602260,0.68145216,0.31854782
SRR5602284,0.6812431,0.31875688
C021,0.122438446,0.8775615
SRR5602256,0.38553536,0.61446464
SRR5602234,0.34483895,0.655161
SRR5602210,0.21079487,0.78920513
S010,0.12140714,0.8785929
S280,0.69155866,0.30844134
S260,0.6683367,0.33166328
S020,0.65958005,0.34041992
SRR5602016,0.6925748,0.3074252
S180,0.6939742,0.30602583
SRR5602145,0.21441199,0.785588
