SampleID,Env,Contribution
TXX40,Pupils,0.18195382
TXX42,Pupils,0.21956345
TXX43,Pupils,0.7860912
TXX44,Pupils,0.1272983
TXX45,Pupils,0.5383043
TXX46,Pupils,0.43409696
TXX47,Pupils,0.1272983
TXX48,Pupils,0.12738365
TXX49,Pupils,0.14113384
TXX5,Pupils,0.13430533
TXX50,Pupils,0.45260105
TXX51,Pupils,0.4678913
TXX52,Pupils,0.56822073
TXX53,Pupils,0.1805957
TXX54,Pupils,0.19392237
TXX55,Pupils,0.35138798
TXX56,Pupils,0.13765842
TXX57,Pupils,0.19340023
TXX58,Pupils,0.12946568
TXX59,Pupils,0.3864319
TXX60,Pupils,0.66540825
TXX61,Pupils,0.1793736
TXX62,Pupils,0.52299017
TXX63,Pupils,0.515717
TXX64,Pupils,0.1717538
TXX65,Pupils,0.2322648
TXX66,Pupils,0.22969227
TXX67,Pupils,0.7910637
TXX68,Pupils,0.43432808
TXX69,Pupils,0.12729694
TXX70,Pupils,0.40560317
TXX72,Pupils,0.5339852
TXX73,Pupils,0.5222278
TXX74,Pupils,0.41080096
TXX75,Pupils,0.12617862
TXX76,Pupils,0.49601245
TXX77,Pupils,0.23287152
TXX78,Pupils,0.34935895
TXX79,Pupils,0.77771986
TXX8,Pupils,0.2197304
TXX80,Pupils,0.78558046
TXX81,Pupils,0.23306419
TXX82,Pupils,0.3453717
TXX83,Pupils,0.78506684
TXX84,Pupils,0.14334385
TXX85,Pupils,0.23277715
TXX86,Pupils,0.7679294
TXX87,Pupils,0.13132493
TXX88,Pupils,0.17499074
TXX89,Pupils,0.82907826
TXX9,Pupils,0.15637594
TXX90,Pupils,0.50645167
TXX91,Pupils,0.786664
TXX93,Pupils,0.18122809
TXX94,Pupils,0.23199126
TXX95,Pupils,0.78623474
TXX96,Pupils,0.12729824
TXX97,Pupils,0.22688676
TXX98,Pupils,0.7863758
TXX99,Pupils,0.34627208
TZX1,Pupils,0.13586587
TZX10,Pupils,0.23261264
TZX100,Pupils,0.13949311
TZX101,Pupils,0.34867132
TZX102,Pupils,0.13369288
TZX103,Pupils,0.13629936
TZX104,Pupils,0.2331052
TZX106,Pupils,0.1973392
TZX107,Pupils,0.51592827
TZX108,Pupils,0.23167408
TZX109,Pupils,0.23277393
TZX11,Pupils,0.19895153
TZX111,Pupils,0.18410964
TZX112,Pupils,0.24967998
TZX114,Pupils,0.14028011
TZX115,Pupils,0.14053307
TZX116,Pupils,0.1272983
TZX117,Pupils,0.22963458
TZX118,Pupils,0.23484527
TZX12,Pupils,0.13934593
TZX120,Pupils,0.22341362
TZX121,Pupils,0.32753178
TZX13,Pupils,0.1384394
TZX14,Pupils,0.12868866
TZX15,Pupils,0.12849414
TZX16,Pupils,0.13581766
TZX17,Pupils,0.13627942
TZX18,Pupils,0.12529494
TZX19,Pupils,0.5509146
TZX2,Pupils,0.12560792
