,root:Elder,root:Young
S320,0.08890859,0.9110914
S290,0.4297522,0.5702478
SRR5602345,0.57996434,0.42003563
S330,0.57998455,0.42001542
SRR5602125,0.037886932,0.9621131
SRR5602220,0.5789755,0.4210245
S050,0.055293612,0.9447064
S080,0.57998455,0.42001542
SRR5602155,0.57914054,0.42085946
SRR5602193,0.542465,0.45753506
SRR5602335,0.5835217,0.4164783
SRR5602119,0.47453532,0.5254647
S150,0.029136801,0.9708632
SRR5602179,0.53460807,0.4653919
SRR3679961,0.5852169,0.41478306
SRR5602134,0.5792776,0.4207224
S130,0.5107015,0.48929855
S200,0.57917863,0.42082134
S210,0.02914105,0.970859
SRR5602290,0.5756049,0.42439502
SRR5602138,0.5719456,0.42805436
C052,0.5799777,0.4200223
C012,0.58103764,0.4189624
SRR5602168,0.033001065,0.9669989
SRR5602159,0.41418225,0.58581775
SRR5602160,0.57885474,0.4211453
SRR5602010,0.5799731,0.42002687
C010,0.562953,0.43704703
S240,0.19728594,0.8027141
S030,0.5799253,0.42007476
SRR5602324,0.52292097,0.47707903
SRR3679980,0.089726254,0.9102738
SRR5602349,0.47484645,0.5251536
S110,0.547763,0.45223698
SRR5602182,0.5799845,0.4200155
S100,0.3084039,0.6915961
C042,0.49386445,0.5061355
SRR5602351,0.5799798,0.4200202
SRR5602333,0.56725645,0.43274352
S220,0.56823754,0.43176252
SRR5602092,0.40258256,0.5974175
S120,0.5792782,0.42072186
SRR5602260,0.5793059,0.4206941
SRR5602284,0.5799603,0.42003968
C021,0.5799828,0.4200172
SRR5602256,0.5719473,0.4280527
SRR5602234,0.39826283,0.60173714
SRR5602210,0.5805249,0.4194751
S010,0.056695674,0.9433043
S280,0.5799562,0.42004383
S260,0.16601184,0.83398813
S020,0.5779778,0.42202216
SRR5602016,0.57803416,0.42196584
S180,0.5799844,0.42001563
SRR5602145,0.1998007,0.80019933
