,root:Pupils,root:kindergarten,root:mid_age,root:mid_school,root:youth
TET88,0.2611296,0.11374495,0.11209428,0.22248031,0.29055083
TET89,0.18557061,0.08836246,0.15862454,0.11276767,0.4546747
TET9,0.13528617,0.1216133,0.17291951,0.067751125,0.50242984
TET90,0.12224035,0.2849775,0.112666935,0.08971314,0.39040214
TET92,0.18531498,0.12181322,0.10945027,0.16799481,0.41542667
TET93,0.17469022,0.11958469,0.27321467,0.1375864,0.29492408
TET94,0.11058024,0.27679047,0.11936403,0.08383934,0.409426
TET95,0.21391878,0.07204744,0.17763537,0.11347812,0.4229203
TET96,0.13609299,0.31469643,0.14423099,0.07178627,0.33319327
TET97,0.19061337,0.0989591,0.33301812,0.13471068,0.24269867
TET98,0.15008068,0.17550816,0.10349237,0.16945602,0.40146282
DXX1,0.2773929,0.077494636,0.12916976,0.2055602,0.3103825
DXX10,0.11426735,0.2285441,0.07041128,0.17785174,0.4089256
DXX11,0.30819535,0.059211083,0.18473136,0.28234822,0.16551396
DXX116,0.23040523,0.11258719,0.26824665,0.082609236,0.30615172
DXX12,0.23303147,0.33133742,0.24376005,0.08295311,0.10891798
DXX13,0.19547072,0.16887619,0.17988364,0.08371337,0.37205613
DXX136,0.113796934,0.40514052,0.2400151,0.031486847,0.20956057
DXX15,0.21953265,0.09857261,0.11657555,0.18448633,0.38083288
DXX16,0.1828023,0.18630803,0.1290319,0.1357671,0.36609063
DXX17,0.17003572,0.21335265,0.16164248,0.09647516,0.35849395
DXX18,0.19829737,0.19966823,0.13666676,0.18571173,0.27965587
DXX19,0.24203074,0.09699504,0.14894426,0.18313234,0.3288976
DXX2,0.17937052,0.15804854,0.13411999,0.13752268,0.3909383
DXX20,0.20025128,0.12947893,0.3998425,0.0716061,0.1988211
DXX21,0.14345233,0.18779282,0.09284441,0.1665787,0.40933174
DXX22,0.2938605,0.031617958,0.17858355,0.18464041,0.31129757
DXX23,0.18299352,0.21608847,0.22611865,0.10377698,0.27102235
DXX24,0.12984802,0.21672072,0.078903265,0.17802048,0.3965076
DXX25,0.13225542,0.16165751,0.20281722,0.08705074,0.41621915
DXX26,0.11787832,0.25379097,0.17628193,0.05553406,0.39651474
DXX5,0.2513522,0.06075546,0.27059463,0.14100234,0.27629533
DXX6,0.15477724,0.24936314,0.110170096,0.12547006,0.3602195
DXX7,0.14543457,0.2451357,0.090651035,0.13289566,0.38588312
DXX8,0.15204543,0.17314334,0.39297596,0.028553689,0.25328162
