SampleID,Env,Contribution
TXX40,Pupils,0.17833841
TXX42,Pupils,0.20505983
TXX43,Pupils,0.18691498
TXX44,Pupils,0.15941828
TXX45,Pupils,0.19088323
TXX46,Pupils,0.3969055
TXX47,Pupils,0.17622708
TXX48,Pupils,0.13922402
TXX49,Pupils,0.16503206
TXX5,Pupils,0.305886
TXX50,Pupils,0.18212903
TXX51,Pupils,0.30487677
TXX52,Pupils,0.3687511
TXX53,Pupils,0.26559836
TXX54,Pupils,0.2684333
TXX55,Pupils,0.33227113
TXX56,Pupils,0.24279854
TXX57,Pupils,0.1708715
TXX58,Pupils,0.13614127
TXX59,Pupils,0.26581427
TXX60,Pupils,0.24367264
TXX61,Pupils,0.15603705
TXX62,Pupils,0.16708435
TXX63,Pupils,0.16926931
TXX64,Pupils,0.1841981
TXX65,Pupils,0.13526905
TXX66,Pupils,0.19008256
TXX67,Pupils,0.21837269
TXX68,Pupils,0.34119812
TXX69,Pupils,0.19329369
TXX70,Pupils,0.29381713
TXX72,Pupils,0.15778288
TXX73,Pupils,0.21988226
TXX74,Pupils,0.22471066
TXX75,Pupils,0.1960479
TXX76,Pupils,0.18475866
TXX77,Pupils,0.18588085
TXX78,Pupils,0.3381077
TXX79,Pupils,0.17996298
TXX8,Pupils,0.1727765
TXX80,Pupils,0.19372912
TXX81,Pupils,0.19212729
TXX82,Pupils,0.18137898
TXX83,Pupils,0.1784608
TXX84,Pupils,0.15129055
TXX85,Pupils,0.11904974
TXX86,Pupils,0.1564935
TXX87,Pupils,0.23396447
TXX88,Pupils,0.15327011
TXX89,Pupils,0.67437345
TXX9,Pupils,0.12673429
TXX90,Pupils,0.29973254
TXX91,Pupils,0.16787279
TXX93,Pupils,0.19218686
TXX94,Pupils,0.28909317
TXX95,Pupils,0.24581996
TXX96,Pupils,0.17593978
TXX97,Pupils,0.19356753
TXX98,Pupils,0.18918397
TXX99,Pupils,0.17424494
TZX1,Pupils,0.18931732
TZX10,Pupils,0.22721279
TZX100,Pupils,0.20500113
TZX101,Pupils,0.18412149
TZX102,Pupils,0.15113354
TZX103,Pupils,0.17724045
TZX104,Pupils,0.2110582
TZX106,Pupils,0.1742849
TZX107,Pupils,0.2465523
TZX108,Pupils,0.2581759
TZX109,Pupils,0.20041497
TZX11,Pupils,0.14748454
TZX111,Pupils,0.123495705
TZX112,Pupils,0.32884657
TZX114,Pupils,0.12042417
TZX115,Pupils,0.19127667
TZX116,Pupils,0.28331208
TZX117,Pupils,0.14124161
TZX118,Pupils,0.17881873
TZX12,Pupils,0.13978687
TZX120,Pupils,0.18157369
TZX121,Pupils,0.18245427
TZX13,Pupils,0.15594263
TZX14,Pupils,0.1715877
TZX15,Pupils,0.12570144
TZX16,Pupils,0.14304787
TZX17,Pupils,0.13840139
TZX18,Pupils,0.16707067
TZX19,Pupils,0.18163471
TZX2,Pupils,0.13306655
TZX20,Pupils,0.08084104
TZX21,Pupils,0.121424496
TZX23,Pupils,0.19640242
TZX23.2,Pupils,0.1749559
TZX24,Pupils,0.18293194
TZX25,Pupils,0.16299365
TZX26,Pupils,0.24333747
TZX27,Pupils,0.14040135
TZX28,Pupils,0.1841101
TZX29,Pupils,0.2205461
TZX3,Pupils,0.17897424
TZX30,Pupils,0.14230546
TZX31,Pupils,0.1618645
TZX32,Pupils,0.18605167
TZX33,Pupils,0.18876399
TZX34,Pupils,0.1701933
TZX35,Pupils,0.14925446
TZX36,Pupils,0.17075379
TZX37,Pupils,0.1862828
TZX38,Pupils,0.18577695
TZX39,Pupils,0.13178393
TZX4,Pupils,0.12780169
TZX40,Pupils,0.15906711
TZX41,Pupils,0.1236526
TZX42,Pupils,0.18450092
TZX43,Pupils,0.18410449
TZX44,Pupils,0.18517955
TZX45,Pupils,0.13413043
TZX46,Pupils,0.20878522
TZX47,Pupils,0.1891944
TZX48,Pupils,0.15628345
TZX49,Pupils,0.13618568
TZX5,Pupils,0.16978294
TZX50,Pupils,0.19133283
TZX51,Pupils,0.16031285
TZX52,Pupils,0.13822636
TZX53,Pupils,0.11952925
TZX54,Pupils,0.18972386
TZX55,Pupils,0.15162681
TZX56,Pupils,0.15489079
TZX57,Pupils,0.19363344
TZX58,Pupils,0.16161266
TZX59,Pupils,0.18530543
TZX6,Pupils,0.14970398
TZX60,Pupils,0.14936605
TZX61,Pupils,0.17988156
TZX62,Pupils,0.154643
TZX63,Pupils,0.14965165
TZX64,Pupils,0.18492071
TZX65,Pupils,0.13434866
TZX66,Pupils,0.15211707
TZX67,Pupils,0.167315
TZX68,Pupils,0.21008852
TZX69,Pupils,0.1074331
TZX7,Pupils,0.19216329
TZX70,Pupils,0.14064975
TZX71,Pupils,0.15673023
TZX72,Pupils,0.14203806
TZX73,Pupils,0.14800295
TZX74,Pupils,0.071835704
TZX75,Pupils,0.11258101
TZX76,Pupils,0.10783016
TZX77,Pupils,0.16640197
TZX78,Pupils,0.17521058
TZX79,Pupils,0.16557112
TZX8,Pupils,0.21101551
TZX80,Pupils,0.106900565
TZX81,Pupils,0.1783394
TZX82,Pupils,0.17578115
TZX83,Pupils,0.18083543
TZX84,Pupils,0.16624169
TZX85,Pupils,0.14549924
TZX86,Pupils,0.1605788
TZX87,Pupils,0.15681143
TZX88,Pupils,0.21245569
TZX9,Pupils,0.14932412
TZX90,Pupils,0.15826099
TZX92,Pupils,0.2898666
TZX94,Pupils,0.15140192
TZX95,Pupils,0.17747769
TZX96,Pupils,0.23525147
TZX97,Pupils,0.12811495
TZX98,Pupils,0.1368218
TZX99,Pupils,0.18704642
Q108,Pupils,0.20903414
Q120,Pupils,0.19892386
Q123,Pupils,0.13519682
Q126,Pupils,0.112892255
Q32,Pupils,0.14204478
Q41,Pupils,0.12793276
Q47,Pupils,0.13770078
TQ034,Pupils,0.1478665
TQ052,Pupils,0.11881099
TQ060,Pupils,0.14392246
TQ062,Pupils,0.17594622
TQ064,Pupils,0.13237794
TQ083,Pupils,0.16331847
TQ084,Pupils,0.14979818
TQ090,Pupils,0.13338812
TQ1,Pupils,0.19224136
TQ10,Pupils,0.16095507
TQ100,Pupils,0.11027332
TQ101,Pupils,0.14593714
TQ102,Pupils,0.12348349
TQ103,Pupils,0.122843966
TQ104,Pupils,0.16365483
TQ105,Pupils,0.11203712
TQ106,Pupils,0.12627181
TQ107,Pupils,0.11862738
TQ108,Pupils,0.12310949
TQ109,Pupils,0.13613693
TQ11,Pupils,0.2688266
TQ110,Pupils,0.15908508
TQ111,Pupils,0.113764375
TQ112,Pupils,0.12982808
TQ113,Pupils,0.18892518
TQ114,Pupils,0.12664124
TQ115,Pupils,0.15176421
TQ116,Pupils,0.12001
TQ117,Pupils,0.13562746
TQ118,Pupils,0.12842119
TQ119,Pupils,0.16261949
TQ12,Pupils,0.13609369
TQ121,Pupils,0.11341823
TQ122,Pupils,0.17637435
TQ124,Pupils,0.14358582
TQ125,Pupils,0.16405796
TQ127,Pupils,0.2144162
TQ128,Pupils,0.1356885
TQ129,Pupils,0.17115153
TQ13,Pupils,0.19887368
TQ130,Pupils,0.12980607
TQ131,Pupils,0.16664076
TQ132,Pupils,0.11915751
TQ133,Pupils,0.1497237
TQ135,Pupils,0.12491535
TQ136,Pupils,0.12350037
TQ137,Pupils,0.16733328
TQ139,Pupils,0.2527962
TQ14,Pupils,0.15867265
TQ140,Pupils,0.11156746
TQ141,Pupils,0.13535295
TQ15,Pupils,0.2828193
TQ16,Pupils,0.14368662
TQ19,Pupils,0.16379088
TQ2,Pupils,0.24803826
TQ20,Pupils,0.1499812
TQ21,Pupils,0.117608294
TQ22,Pupils,0.1565489
TQ23,Pupils,0.1456279
TQ24,Pupils,0.11214233
TQ25,Pupils,0.12703285
TQ26,Pupils,0.13132855
TQ27,Pupils,0.14317706
TQ28,Pupils,0.12651843
TQ29,Pupils,0.12661336
TQ3,Pupils,0.18756956
TQ30,Pupils,0.12992883
TQ31,Pupils,0.11990794
TQ33,Pupils,0.16106927
TQ35,Pupils,0.14180927
TQ36,Pupils,0.16775894
TQ38,Pupils,0.16697504
TQ39,Pupils,0.17073397
TQ4,Pupils,0.18748167
TQ42,Pupils,0.1346399
TQ43,Pupils,0.106094584
TQ44,Pupils,0.12767036
